V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
13263,83734,10466,3108,3048,2145,2681,2057,1441,1156,924,2243
3402,2461,6912,5964,6018,8076,9567,5264,3598,2733,1294,2769
372,3762,13328,3858,1768,755,579,291,227,199,85,211
16118,13743,20194,11957,11270,10858,15281,10445,8463,6310,5361,10162
26,10,57,124,193,899,2005,895,329,116,37,131
4882,1267,1563,851,790,857,1150,778,611,551,379,752
175,168,375,452,705,1758,5106,12629,22572,32543,14155,28490
2453,2059,3047,1838,1709,1663,2259,1653,1259,995,760,1568
10577,3911,5375,4226,4713,6806,8743,7027,5713,4962,2912,5944
29959,25034,36551,21683,21016,20515,27811,19853,15287,11552,9812,18868
24561,6384,8139,4243,3944,4479,5930,3798,3214,3020,1970,4128
25596,21141,43486,23860,23800,33728,42713,38928,42112,50633,31486,64449
807,571,1982,2707,3691,6288,6763,2377,1392,1100,501,1111
7574,3490,7278,4120,3324,3178,3494,2260,1681,1278,819,1585
5834,4276,11632,9674,9878,13466,15909,8618,6194,4627,2176,4632
5354,2002,2857,2241,2464,3622,4714,3750,2972,2625,1480,3145
4135,1460,3140,4704,6877,15602,21384,17695,13789,11454,4728,9823
6808,5742,11577,6608,6389,9257,11642,10492,11338,13785,8501,17439
21,28,39,19,20,17,28,14,13,12,11,12
0,0,0,0,0,0,1,3,2,0,2,2
0,0,2,2,0,1,1,1,0,0,0,0
1,0,3,0,2,0,1,0,0,0,1,2
6,5,2,3,8,10,14,8,5,8,8,14
30989,36775,81512,38931,30564,27108,32090,20768,15190,10217,9215,17134
7013,2595,3636,2938,3210,4540,6070,4513,3816,3356,1915,3993
834,313,647,1011,1406,3324,4516,3760,2920,2461,1027,2022
25935,21841,32099,18910,18187,17747,24092,16924,13501,10114,8720,16376
3034,2845,7016,7563,12005,31541,90599,228410,401541,576653,251974,511463
1017,270,370,311,348,598,947,991,1305,2274,2062,4198
10676,11746,29127,16353,14558,15084,19630,14268,11609,10122,5587,11340
29100,20819,57714,49223,48935,67542,80086,43376,30037,23299,11086,23264
46,86,375,248,180,162,196,68,55,34,23,40
3044,3129,12947,13397,14175,17944,31355,23243,15769,11908,4801,10056
5457,4763,6721,4054,3920,3924,5204,3642,2873,2117,1851,3517
52916,57472,140679,78745,70205,74298,96512,69795,56543,49578,27737,54696
1238,2856,12570,8606,6581,5690,6131,2623,1684,1388,617,1268
1705,1399,2063,1203,1213,1211,1526,1067,843,625,537,1071
1734,1277,3553,2960,3016,4170,4856,2703,1863,1380,655,1415
817,1864,8292,5664,4315,3716,4028,1668,1055,913,354,789
15824,5794,8392,6413,7102,10332,13516,10399,8591,7679,4508,9021
1891,2213,5081,2874,3123,4144,5573,2323,2525,2450,1808,4066
1147,475,918,781,871,1727,2836,3248,3760,4901,2427,4752
2811,753,946,497,479,482,667,440,326,341,221,449
9066,10567,23434,11049,8938,7811,9417,5911,4442,2964,2674,5049
3,0,5,3,2,0,2,0,2,1,0,0
0,0,0,0,0,0,0,2,3,2,0,3
19,14,46,17,19,17,25,18,13,13,9,15
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,1,0,2,2,3,1,4,1,2
0,0,0,1,0,1,1,5,12,29,6,29
23202,10432,21683,12561,9969,10006,11027,7048,5059,4127,2391,4928
7168,8373,18569,9024,7169,6310,7403,4776,3566,2357,2148,3899
12898,4781,6982,5363,5920,8427,11045,8578,7221,6378,3593,7515
3092,2689,3870,2217,2194,2141,2854,2041,1511,1242,1009,1976
70937,4698,3010,1003,1203,1148,1361,1505,992,1315,754,1539
2293,1652,4641,3898,4151,5455,6355,3434,2326,1839,900,1939
3579,3991,9565,5375,4908,4886,6713,4808,3866,3484,1926,3701
38167,39387,120474,54940,35604,25250,26022,15055,10892,7402,6074,11924
168355,75901,157793,90665,74363,71106,80136,51437,36660,29694,17016,35380
3942,3218,6725,3738,3632,5182,6679,6098,6660,7934,4794,9978
26543,6866,10012,7112,8830,16885,24727,27028,36059,60536,53207,112180
10652,11030,33483,15511,10054,7113,7336,4178,3000,2109,1692,3217
30007,31112,95227,43225,28464,20129,20684,11879,8679,5948,4858,9251
12540,14123,40005,24056,20689,22431,24045,14643,10059,7989,4884,9500
8368,9106,22875,12588,11154,11583,15504,11082,9032,7923,4471,8846
38604,42745,121682,73640,62356,68945,74022,44072,30931,23786,14948,28258
40,14,42,33,80,126,217,1281,8586,21036,2490,5052
4265,4493,13463,6161,4070,2876,2971,1729,1154,835,675,1288
30,10,18,14,23,51,78,112,97,146,65,119
1146,1307,3603,2200,1791,2122,2234,1262,965,691,420,823
19,10,35,37,58,146,439,1011,1953,2699,1203,2406
3719,3173,4590,2742,2642,2544,3441,2466,1959,1432,1256,2312
430,355,919,2400,4088,16888,37386,17340,5886,2435,786,2224
194,1943,6833,1983,883,454,323,139,121,115,39,103
427,313,778,1254,1860,6553,34793,139131,45014,5465,748,1733
12537,4645,6677,5121,5695,8257,10683,8289,6862,5901,3468,7205
2708,2214,4571,2591,2482,3574,4508,4089,4468,5435,3305,6899
2899,2080,5884,4891,4919,6696,7980,4341,2995,2359,1043,2297
22745,23669,72218,32842,21469,15359,15504,9234,6664,4471,3489,6847
6511,5407,10959,6148,5904,8644,11115,10102,10701,13244,8154,16617
6352,7431,17859,10255,10817,13764,18829,7971,8664,8195,6128,13707
9,9,10,10,13,26,42,90,269,949,1150,2259
1332,2811,12907,8721,6732,5751,6282,2747,1654,1393,572,1326
1363,1140,2480,1324,1351,1869,2378,2131,2417,2781,1805,3631
3115,3417,8550,4624,4226,4492,5701,4177,3450,3046,1621,3215
22,33,85,86,113,368,921,2390,4221,6002,2607,5484
1290,2745,12694,8530,6616,5717,6269,2692,1655,1274,614,1327
2607,1903,5272,4481,4540,6213,7333,3897,2767,2168,984,2019
3334,7125,32294,22363,16893,14518,15992,6864,4222,3399,1514,3279
12685,10844,15798,9167,8824,8735,11919,8331,6466,4956,4210,7973
18,7,8,8,9,12,28,31,39,51,50,112
33,5,32,43,58,135,172,144,107,84,47,81
7788,3510,7489,4271,3361,3358,3764,2453,1691,1334,771,1659
18231,8239,17104,9894,8106,7572,8717,5489,4027,3220,1902,3881
11,8,16,9,28,34,71,441,2608,6401,772,1485
16,8,12,32,46,85,127,107,85,37,38,64
3848,3184,4545,2715,2592,2598,3478,2420,1894,1387,1230,2322
11,8,21,17,44,100,265,683,1197,1798,820,1610
2245,1105,2645,2727,3769,7510,10601,6306,6078,7011,5442,12339
18219,19844,48591,27113,24308,25238,33558,23677,19541,17227,9455,18692
14255,15727,44924,27246,23177,25888,27432,15968,11300,8950,5455,10639
3010,3290,9564,5703,4866,5369,5776,3557,2392,1858,1160,2226
3874,4506,10672,6900,7140,10666,9555,8550,6993,7305,4120,7428
33356,24241,66342,56103,56544,77761,92299,49548,34862,26590,12684,26500
9,2,11,13,16,21,52,350,2399,6146,786,1465
3,6,23,17,16,19,15,27,18,11,8,14
897605,978420,2409446,1345395,1202531,1258052,1647318,1194066,965013,854154,470917,938834
155,189,720,737,824,1002,1802,1291,933,669,268,585
461611,501938,1236311,688704,615478,646800,846529,612385,494027,438291,241295,483065
38,39,107,172,221,371,407,142,87,65,34,65
12477,4664,6738,5047,5911,8073,10725,8345,6809,6115,3554,7246
1,0,2,2,2,6,39,79,160,271,105,220
1248,1501,3378,1962,2060,2589,3562,1531,1671,1561,1238,2709
11709,9963,14513,8471,8274,8058,10820,7733,6008,4526,3947,7436
39,30,38,20,61,122,210,1305,8664,21249,2558,5261
4185,2115,4736,5132,7247,13952,20122,11887,11387,13314,10303,23030
13948,10091,28196,23578,23940,32906,38420,21088,14506,11040,5326,11141
1152,2438,11528,7796,5928,5141,5650,2361,1473,1209,519,1196
1227,2733,12278,8280,6472,5521,6088,2632,1588,1218,590,1207
9100,9796,24015,13466,12080,12414,16420,11958,9620,8672,4643,9423
32589,8388,12280,8737,10984,20259,30412,32842,44012,73696,64757,137226
28247,33339,74191,35503,27963,24278,29186,18667,13938,9503,8554,15383
3413,3495,10396,4804,3152,2160,2327,1409,972,626,534,1066
343,774,3670,2478,1997,1624,1818,716,465,358,168,365
80,47,98,99,127,297,352,218,208,238,195,459
82,79,275,112,86,57,46,35,15,11,15,27
1775,11277,1400,411,394,303,366,268,205,170,113,312
13495,14881,36089,20323,18086,18916,24882,17932,14449,12774,7224,13971
33431,2234,1412,477,567,528,643,680,500,614,376,793
3680,3938,11322,6951,5811,6387,6870,3939,2758,2327,1345,2656
1369,1582,3610,1774,1423,1162,1375,903,716,445,431,766
319,202,767,1091,1497,2532,2718,1040,573,465,212,457
5532,5627,17316,7943,5295,3789,3743,2173,1559,1055,901,1740
26,18,59,87,128,409,2237,8993,2879,338,31,103
767,767,2991,3119,3294,4235,7299,5389,3686,2748,1098,2410
11497,12623,30814,17218,15534,15972,21160,15544,12287,10956,6007,12063
4194,4465,17817,19112,20064,25048,43273,32174,21800,16531,6778,14020
13530,4676,10400,15688,23140,52701,72033,59692,46090,38117,15979,32957
48,28,102,152,194,322,332,145,82,54,31,47
9,10,48,42,24,21,16,20,6,3,0,3
12,7,14,15,19,55,90,65,55,47,24,38
3087,6479,30160,20554,15500,13495,14519,6237,3834,3171,1340,3001
8008,8698,25097,15055,12929,14088,15351,9110,6353,4970,3126,5750
7213,7711,18873,10447,9511,10014,12987,9402,7532,6715,3695,7422
26250,11354,22102,18114,20626,40137,66074,79367,89735,112431,55358,112656
10147,8713,12729,7520,7152,7252,9585,6683,5348,3911,3444,6579
3439,2908,5958,3418,3223,4627,5958,5542,5670,6961,4302,8827
4,2,2,6,6,6,14,29,63,236,261,541
13899,5248,7528,5718,6217,9163,11827,9357,7732,6729,3914,8030
7785,6256,12876,7334,7065,10118,12887,11793,12756,15165,9157,19126
562,573,2481,2468,2712,3448,5990,4351,3023,2238,864,1873
1038,75,48,17,18,18,15,14,15,16,13,26
2730,3045,8688,5230,4410,4851,5313,3152,2269,1805,1027,2055
8101,543,343,127,135,125,180,155,121,148,86,182
30337,2055,1246,396,521,479,646,621,407,581,326,680
136,144,278,179,185,330,303,244,186,237,127,219
48,14,35,56,81,357,743,1323,1196,753,177,314
49293,13281,16553,8696,8186,9021,11507,7727,6536,5989,3995,8196
21603,25480,56729,27062,21513,18737,22234,14638,10365,7311,6365,11868
8752,19257,87804,60052,45406,39536,43111,18643,11335,9322,4085,8891
1981,13010,1481,455,414,313,388,319,205,176,125,340
428,257,390,361,794,1662,4337,36323,91621,38402,1970,4414
7538,6465,9131,5607,5380,5280,7054,5135,3989,2992,2520,4851
318,146,408,639,890,3564,6957,12599,11709,7291,1618,3176
722,806,2287,1350,1135,1307,1407,817,594,424,275,526
2847,3175,7756,4322,3923,4098,5442,3937,3185,2723,1487,3086
20875,21594,66181,30137,19625,13968,14510,8386,6043,4094,3326,6566
8004,2961,4242,3330,3666,5179,6798,5309,4403,3905,2323,4640
463,522,2128,2169,2265,2871,5109,3784,2553,1935,734,1684
25678,56218,259224,175960,134410,115216,126524,54062,33343,26904,12011,25982
14132,3644,5410,3872,4825,8822,13510,14665,19444,32824,28661,60477
25261,6556,9363,6838,8393,15851,23411,25823,34318,57788,50621,106602
18082,7815,14880,12408,14065,27279,44590,54227,61287,76314,37630,76531
22198,26413,58396,27975,22091,19146,22923,14825,10650,7409,6500,12287
14575,16813,40718,26518,27166,41345,36920,32553,26451,28253,15538,28184
15657,6988,14729,8186,6828,6590,7286,4738,3322,2669,1637,3331
64,30,95,99,172,805,1477,2807,2583,1623,314,689
698,611,1646,1730,2700,7155,20703,51982,91699,131777,57339,116752
10894,687,483,159,181,180,199,213,138,215,100,240
2521,1291,2755,3178,4373,8412,12052,7127,7082,8191,6054,13977
3110,3575,8619,4961,5300,6620,8923,3900,3994,3994,2884,6566
7675,1927,2784,2036,2489,4606,7105,7801,10344,17174,15125,32080
6848,1780,2560,1869,2236,4321,6505,7083,9514,15628,13838,29422
570,203,523,415,574,998,1699,3289,10486,37536,42087,85666
2838,3070,7677,4361,3830,3981,5347,3895,3077,2785,1569,3005
0,0,1,1,3,1,5,11,27,139,139,294
1820,684,966,730,831,1162,1478,1171,917,889,540,990
2810,2095,5790,4918,4939,6607,7815,4178,2912,2264,1086,2172
33142,28197,40838,24400,23497,22566,31054,22041,17054,12984,11165,20855
7996,2856,6317,9260,13840,31701,43155,35838,27796,23077,9692,19339
12436,3333,4721,3404,4048,7817,11660,12689,17414,28436,25135,53028
350,232,880,1195,1707,2711,3041,1119,686,450,214,507
539,5377,19687,5830,2644,1112,896,424,371,292,121,326
18882,6950,10091,7905,8757,12194,15995,12627,10388,9222,5322,11010
298,2800,10134,3044,1347,576,473,207,194,159,64,164
3699,2913,6319,3550,3372,4878,6374,5695,6011,7287,4568,9287
15146,12924,18616,11170,10474,10446,14113,10000,7853,5965,5039,9422
348,99,263,394,606,1323,1866,1507,1123,928,417,846
3067,18949,2422,693,650,505,582,455,319,244,200,499
3314,3856,8745,4142,3327,2763,3436,2198,1683,1096,989,1845
22819,10328,21845,12399,9917,9735,10905,7095,4871,4007,2303,4785
1761,1915,5437,3350,2788,3100,3325,1917,1397,1096,714,1293
6830,1699,2684,1886,2261,4144,6432,6924,9229,15629,13649,29276
50,24,43,41,44,85,135,257,803,2909,3296,6964
3332,2354,6379,5420,5479,7576,8856,4946,3264,2609,1304,2710
49634,58496,129732,62331,49202,42723,51031,32712,24245,16456,14637,27044
3108,3280,8063,4534,4099,4230,5687,4085,3304,2885,1618,3188
4,5,14,16,26,75,219,560,943,1415,607,1253
856,411,1058,1626,2382,9896,18746,33205,31313,19916,4122,8769
7303,8811,19424,9135,7242,6383,7445,4912,3469,2485,2152,4070
903,363,712,587,671,1334,2096,2559,2873,3758,1828,3706
44095,51916,115594,55739,43487,38004,45256,29349,21428,14678,13032,23961
151,77,182,199,282,525,717,460,430,545,396,939
9,7,13,14,25,98,210,305,316,190,47,96
26242,18609,67226,94279,126950,214386,232479,86708,48156,37010,16565,37401
314720,342757,843309,470756,419648,441221,576635,416743,337704,298825,165006,329714
13476,4776,10661,15613,22759,52374,71306,59585,46061,38532,16084,32681
10628,9008,13132,7626,7465,7227,9878,6974,5490,4245,3605,6634
2737,3046,8717,5309,4514,4867,5432,3084,2183,1704,1061,2031
86365,5871,3646,1259,1512,1361,1700,1827,1181,1587,857,1931
36074,9433,11948,6247,5895,6478,8304,5700,4727,4405,2736,5940
63,45,195,261,335,582,610,224,137,93,41,93
595,214,456,644,996,2342,3157,2497,1966,1601,693,1380
420,274,1025,1511,1985,3323,3656,1355,732,588,264,607
290981,76527,96817,50710,47222,52366,67772,46064,37665,35395,23262,48145
3123,2587,5482,3040,2978,4224,5443,4887,5269,6369,3936,7932
11972,5039,9922,8282,9281,17971,29527,35344,40358,50889,24864,50346
8707,3687,7210,6028,6905,13224,21427,26070,29414,36674,18056,37274
25,29,53,70,107,364,1847,7485,2467,276,47,99
1192,993,2679,6058,11061,44481,101052,46009,16082,6714,2060,6012
149,166,492,283,243,247,289,186,131,102,53,119
895,697,2005,4645,8234,33550,75161,34837,12288,4956,1600,4530
3896,8360,38538,26534,20090,17003,18833,8018,4911,4015,1756,3719
1851,937,2190,3384,5098,20917,40444,71634,67350,42274,8780,18632
341,290,909,1272,1732,2838,3011,1152,689,520,229,489
75,45,175,279,330,546,692,241,148,101,57,111
1645,1194,3378,2849,2788,4030,4647,2509,1778,1330,623,1275
2710,2207,3147,1837,1868,1797,2396,1685,1358,1071,872,1657
3465,3479,10669,4925,3145,2275,2314,1292,964,698,529,1014
0,10,38,9,5,5,1,1,1,0,0,1
99,39,119,93,126,218,354,704,2086,7686,8629,17903
3197,2623,5396,3096,3008,4202,5356,4849,5296,6422,3962,8145
885,922,3648,3761,4095,5151,9063,6636,4377,3366,1380,2889
3497,1426,2954,2320,2652,5083,8386,10119,11539,14391,7013,14197
12060,9827,20632,11555,11251,16121,20380,18453,20036,23928,14662,30592
30543,11319,16320,12389,14132,20003,25807,20164,16698,14465,8532,17188
1034,515,1279,1960,3031,11887,23118,40764,38537,24108,4872,10533
0,0,0,1,0,1,0,0,0,0,2,0
0,0,2,0,0,0,1,1,0,0,0,1
596,617,2515,2586,2815,3432,5894,4362,3039,2357,939,1922
3427,3739,10602,6240,5419,5990,6414,3868,2644,2093,1321,2478
204,93,259,371,564,2408,4513,7941,7538,4703,1008,2147
1761,1255,3414,2978,2945,3951,4748,2490,1758,1411,624,1363
3579,7434,35400,23798,18242,15845,17288,7142,4478,3595,1591,3554
1157,11334,41419,12190,5544,2415,1925,978,696,632,274,749
5975,5171,7156,4383,4200,4078,5463,3932,3169,2369,1966,3763
5751,6630,15847,8983,9618,12208,16515,7117,7697,7331,5408,12416
14160,12009,17441,10507,10077,9630,13060,9160,7336,5481,4806,8928
5656,6286,18310,10899,9317,10312,10937,6556,4404,3475,2217,4232
13612,4947,7047,5496,6162,8792,11625,9032,7307,6344,3898,7791
1713,1847,5312,3275,2642,3028,3268,1915,1338,1059,654,1263
0,1,1,0,1,0,5,6,8,4,2,2
11544,12497,30832,17221,15404,16209,21127,14901,12301,11012,5963,12100
5258,2470,4976,2826,2342,2247,2545,1644,1092,927,523,1108
11593,9690,14116,8488,8051,7821,10646,7583,5978,4476,3766,7231
122561,141184,338489,221259,225793,341733,307420,269578,219589,233440,128971,234585
5941,6735,16306,10672,10810,16677,14739,12944,10646,11306,6242,11201
7604,8462,23957,14382,12397,13503,14478,8818,6018,4663,3048,5550
10,7,29,52,85,393,852,383,146,60,23,57
2431,2658,7558,4473,3999,4317,4558,2716,1833,1466,919,1736
4772,4010,5680,3319,3272,3235,4294,3108,2476,1825,1601,2908
1846,2066,5663,3376,2901,3314,3548,2097,1422,1108,656,1296
23261,19852,29162,17209,16464,16012,21948,15501,12285,8951,7845,14768
2776,2076,5877,4939,4769,6850,7988,4294,3053,2275,1117,2272
881,1936,8930,6271,4623,3936,4435,1862,1150,946,407,898
13222,15384,34815,16706,13039,11355,13630,8671,6403,4438,3817,7306
9883,7265,20052,17089,17245,23372,28156,14942,10556,7911,3885,7908
3197,2673,5505,3078,3013,4285,5581,4911,5414,6453,4028,8196
2565,3065,6868,3205,2650,2271,2686,1699,1291,878,748,1423
1900,827,1651,1389,1563,2925,4735,5787,6637,8361,4088,8229
27,32,69,53,45,59,83,55,58,47,26,54
15347,16695,48059,28935,24566,27486,29438,17345,12209,9543,5817,11250
2468,2952,7122,4608,4678,7044,6467,5585,4517,4838,2655,4917
1513,1755,4244,2794,2890,4257,3855,3421,2747,2939,1639,2875
6701,4856,13388,11372,11522,15793,18332,9992,7043,5454,2517,5252
712,221,562,860,1237,2860,3888,3204,2387,2013,852,1712
6596,2254,5163,7773,11335,25855,34840,29398,22703,18867,7748,15920
1402,513,706,583,644,894,1157,961,744,667,407,779
28529,10628,14915,11449,13044,18411,24129,18784,15534,13816,8072,16016
19680,7087,10193,7906,8939,12975,16580,12771,10327,9254,5313,11023
22074,24000,59223,33088,29406,30665,40093,29103,23629,21134,11771,23087
3059,1096,2388,3481,5219,11954,16170,13590,10580,8795,3678,7530
13732,14039,43670,19920,12810,9290,9406,5437,3911,2690,2180,4207
7707,3518,7300,4146,3321,3249,3614,2426,1673,1346,845,1607
25868,11716,24502,13754,11321,11012,12376,7844,5522,4408,2665,5278
5076,1778,3975,5880,8805,19636,26676,22292,17129,14458,6016,12136
421,384,678,394,381,516,711,613,691,840,494,1091
35204,29830,43694,25833,24691,24478,33033,23496,18468,13866,11726,22491
20864,22673,55850,31061,27797,29134,38179,27350,22406,19959,11001,21858
123,157,424,224,234,322,422,180,201,170,135,334
14880,12439,18605,10878,10448,10086,13861,9781,7684,5809,4906,9395
30513,31334,96659,44334,28557,20290,20955,12126,8776,6110,4851,9266
2381,2889,6749,3941,4031,5191,7005,2951,3333,3075,2336,5319
1042,877,1793,1002,991,1320,1762,1577,1666,2030,1308,2678
10854,4027,5821,4565,4964,7125,9313,7241,6048,5268,3109,6272
18955,41718,190061,129734,98552,84694,93709,39834,24097,19898,8834,19083
31717,34050,137939,144471,153696,191469,335362,247504,166562,127265,51902,107880
14709,15793,64008,66761,71460,89084,155298,114689,77349,59225,24002,50563
15683,16711,68031,70867,74946,94200,163384,120876,81580,62507,25263,53267
10,4,30,31,47,98,80,37,17,12,4,19
3,2,4,8,7,8,7,6,7,5,3,5
0,1,4,4,4,26,38,122,202,335,132,281
5,5,19,14,22,68,189,535,958,1362,587,1191
6369,6545,20019,9234,6029,4263,4445,2473,1777,1233,1016,1981
11939,26092,121750,82357,62567,53677,59360,24954,15362,12497,5569,12144
19517,8778,18304,10557,8582,8372,9320,5809,4293,3397,1949,4051
534,5117,18749,5673,2538,1073,915,425,320,337,117,318
0,2,10,6,7,15,16,12,6,5,2,1
2,9,56,37,45,29,33,15,5,7,1,4
278,199,417,223,217,325,412,355,438,489,312,604
44,34,189,187,196,220,376,242,171,149,54,129
2544,3020,7245,4095,4399,5641,7671,3375,3496,3354,2464,5662
8856,3373,4694,3591,4270,5768,7610,5845,4827,4339,2561,4959
25,21,39,38,63,191,498,1265,2144,3135,1313,2781
181,72,185,149,184,338,541,1100,3362,12147,13546,27873
122,104,249,274,397,1084,3117,7734,13508,19490,8489,17341
454,994,4481,2880,2248,1980,2231,970,556,442,198,416
25,32,106,117,116,179,291,208,150,127,38,99
115,82,219,336,537,1847,9914,38976,12800,1546,228,458
3722,979,1373,1050,1216,2266,3400,3790,5173,8312,7312,15474
71519,82756,199436,130114,132334,201049,180946,158248,129490,137629,76025,138229
61463,71113,169798,110415,113156,171941,153716,135594,110759,118015,64806,118593
866,627,2254,3204,4106,6997,7690,2856,1552,1183,557,1236
73459,85412,204389,132584,136432,206160,184881,163510,133108,141278,77546,141413
110856,128283,308066,200159,206456,311393,278327,245411,200729,212858,117335,213210
1066,732,2595,3542,4847,8272,9137,3288,1902,1412,607,1420
106562,122923,294187,191416,196953,297575,267955,235482,191326,204486,112418,204194
83475,96633,231523,150449,154447,234131,209585,184656,150842,159731,88357,159069
630,6058,21720,6582,2862,1277,1038,480,402,336,142,381
449,4252,15469,4653,2104,970,718,325,251,260,99,278
49,46,140,311,561,2225,5080,2424,806,337,102,309
1291,2919,13263,9151,7069,5976,6632,2819,1770,1396,650,1286
29163,34644,77147,36617,28877,25269,30100,19133,14184,9580,8621,15981
3559,1376,1827,1439,1593,2269,3026,2298,1929,1657,1062,1992
1683,1991,4654,3133,3221,4761,4285,3896,3034,3282,1813,3365
13038,10922,16108,9571,9066,9005,12219,8788,6782,5121,4443,8194
1386,1244,1800,1027,967,1007,1297,977,725,532,463,966
6690,2451,3496,2757,3115,4372,5765,4458,3660,3168,1903,3823
2478,1157,2313,1333,1112,1059,1226,746,575,440,249,503
2237,2602,5912,2796,2150,1890,2304,1498,1058,755,657,1213
74,55,157,124,143,152,189,103,83,53,33,56
29379,7541,11241,8030,9853,18632,27405,30509,40639,67616,58850,125390
1151,999,2184,1119,1110,1563,2068,1863,2092,2454,1506,3065
823,1884,8458,5649,4376,3779,4041,1812,1026,944,370,930
922,681,2470,3636,4866,8001,8688,3155,1729,1397,620,1418
