"","X1","X2","X3","X4"
"611",82,94,9,14
"612",89,87,7,9
"613",91,95,10,5
"614",97,92,12,12
"615",87,85,8,13
"616",100,86,9,8
"617",99,110,8,10
"618",96,89,14,9
"619",88,93,5,15
"620",92,86,12,8
"621",98,87,4,15
"622",95,96,9,3
"623",98,107,14,11
"624",108,93,14,11
"625",93,85,15,11
"626",92,97,8,10
"627",103,88,7,17
"628",97,73,12,5
"629",94,79,14,6
"630",86,108,8,7
"631",99,92,3,9
"632",77,102,21,9
"633",93,86,6,9
"634",97,108,11,9
"635",86,95,16,8
"636",78,98,11,13
"637",77,90,7,12
"638",103,88,9,14
"639",107,80,7,10
"640",102,94,11,12
"641",85,94,14,15
"642",83,89,9,9
"643",90,84,11,13
"644",107,116,16,9
"645",97,95,14,11
"646",76,97,6,17
"647",106,98,6,9
"648",88,92,11,6
"649",85,86,8,6
"650",102,75,11,8
"651",102,89,14,10
"652",72,89,7,6
"653",94,92,14,7
"654",116,69,7,7
"655",87,108,5,18
"656",98,116,8,9
"657",103,83,8,20
"658",83,103,14,8
"659",91,93,12,11
"660",99,108,11,8
"661",98,112,11,9
"662",100,114,8,9
"663",90,89,14,9
"664",88,111,9,6
"665",80,75,10,10
"666",103,82,10,7
"667",92,82,13,11
"668",106,111,8,6
"669",85,95,9,8
"670",93,85,9,12
"671",109,104,11,14
"672",87,82,11,13
"673",109,87,7,13
"674",101,88,9,10
"675",92,85,9,5
"676",84,98,7,8
"677",99,92,7,8
"678",94,96,6,11
"679",101,69,7,11
"680",89,99,10,9
"681",103,97,15,12
"682",108,95,7,5
"683",88,93,14,7
"684",91,88,13,7
"685",91,98,7,8
"686",97,99,6,12
"687",87,89,7,15
"688",100,88,11,6
"689",94,91,6,13
"690",78,99,8,12
"691",96,89,13,14
"692",96,107,8,12
"693",95,108,11,13
"694",107,84,10,16
"695",94,82,3,6
"696",109,102,11,14
"697",95,82,5,15
"698",82,96,8,7
"699",84,95,17,12
"700",95,95,11,16
"701",84,92,17,5
"702",83,87,9,12
"703",101,101,12,8
"704",96,92,11,12
"705",72,100,7,6
"706",91,108,11,15
"707",88,91,11,8
"708",77,106,8,13
"709",90,87,17,17
"710",93,113,12,6
"711",95,98,6,8
"712",95,104,11,13
"713",109,87,7,10
"714",80,89,8,11
"715",86,111,10,10
"716",83,94,9,12
"717",87,88,13,15
"718",94,98,10,7
"719",104,85,14,13
"720",82,89,6,9
"721",82,84,7,13
"722",82,99,6,5
"723",90,100,13,13
"724",99,103,6,5
"725",118,94,13,11
"726",108,96,10,9
"727",87,96,10,7
"728",99,93,11,9
"729",116,101,13,8
"730",98,93,11,9
"731",94,100,7,14
"732",96,90,12,8
"733",103,90,11,13
"734",94,87,10,9
"735",80,98,9,8
"736",84,95,7,6
"737",101,90,10,9
"738",104,80,8,8
"739",86,91,11,12
"740",98,93,9,5
"741",95,86,17,13
"742",82,87,12,14
"743",75,86,8,9
"744",99,101,13,8
"745",106,83,6,7
"746",87,103,11,9
"747",94,93,11,10
"748",85,98,17,8
"749",83,83,12,11
"750",94,109,6,6
"751",93,96,7,13
"752",86,92,8,20
"753",120,94,20,10
"754",81,107,5,9
"755",78,83,14,7
"756",96,89,13,17
"757",105,78,6,12
"758",105,109,14,9
"759",86,94,9,14
"760",100,96,6,8
"761",102,94,11,9
"762",97,93,8,10
"763",112,88,9,10
"764",84,80,8,7
"765",80,91,10,8
"766",98,89,9,15
"767",93,101,13,6
"768",95,109,17,6
"769",96,67,9,13
"770",90,75,8,10
"771",84,96,9,9
"772",70,90,11,12
"773",100,103,11,9
"774",89,98,11,12
"775",89,100,12,11
"776",78,86,16,14
"777",87,83,7,15
"778",93,88,10,16
"779",95,98,9,14
"780",96,86,6,6
"781",104,92,11,10
"782",75,91,14,16
"783",93,84,8,13
"784",82,90,13,7
"785",73,97,11,10
"786",96,83,13,8
"787",102,92,5,9
"788",96,93,11,12
"789",91,87,13,10
"790",103,84,7,14
"791",103,94,9,9
"792",102,66,6,8
"793",79,96,8,12
"794",95,101,11,10
"795",98,83,11,10
"796",93,110,12,9
"797",108,108,6,12
"798",97,94,18,9
"799",104,82,20,12
"800",83,85,9,9
"801",99,87,12,19
"802",84,86,5,8
"803",87,103,10,13
"804",99,107,17,12
"805",101,95,5,12
"806",94,89,13,13
"807",96,101,13,12
"808",78,97,11,9
"809",100,91,11,13
"810",104,86,9,8
"811",81,90,11,8
"812",116,98,9,8
"813",94,88,9,17
"814",97,88,12,6
"815",92,100,14,8
"816",95,80,12,8
"817",86,99,11,10
"818",93,89,9,8
"819",100,97,11,6
"820",77,103,9,9
"821",97,102,9,10
"822",89,85,6,10
"823",95,97,11,9
"824",92,101,12,3
"825",91,106,10,9
"826",86,86,12,12
"827",88,87,18,17
"828",103,84,8,8
"829",112,91,11,8
"830",98,88,12,10
"831",100,97,8,12
"832",88,93,11,7
"833",99,93,10,18
"834",98,87,11,8
"835",84,74,4,8
"836",83,93,7,8
"837",89,96,10,6
"838",96,106,10,9
"839",92,93,8,8
"840",93,86,15,8
"841",100,87,8,9
"842",94,89,8,9
"843",84,113,6,9
"844",81,102,4,14
"845",101,85,12,8
"846",88,101,10,8
"847",91,90,13,10
"848",92,105,11,11
"849",98,97,9,10
"850",104,89,10,8
"851",85,107,12,7
"852",98,95,10,15
"853",100,93,14,5
"854",106,94,9,17
"855",82,90,11,15
"856",94,95,5,6
"857",111,95,8,13
"858",101,94,13,8
"859",84,88,10,4
"860",101,95,7,7
"861",80,81,7,8
"862",96,100,11,9
"863",96,99,4,16
"864",77,93,12,14
"865",97,99,8,11
"866",96,86,12,5
"867",89,71,9,7
"868",107,84,8,10
"869",88,111,10,11
"870",103,108,12,9
"871",79,93,7,12
"872",93,90,12,12
"873",87,93,8,11
"874",92,92,12,5
"875",93,78,9,14
"876",87,97,12,11
"877",105,95,9,4
"878",88,96,17,8
"879",100,94,6,9
"880",94,95,7,11
"881",89,83,7,8
"882",83,99,14,7
"883",105,81,6,8
"884",73,103,16,8
"885",75,69,5,10
"886",112,86,9,7
"887",100,95,13,8
"888",99,90,9,11
"889",109,98,9,9
"890",86,94,9,13
"891",90,85,15,7
"892",102,89,7,12
"893",104,100,7,8
"894",107,79,11,14
"895",84,95,10,6
"896",102,85,10,6
"897",101,99,13,12
"898",88,75,18,6
"899",81,86,15,7
"900",95,85,18,9
"901",83,104,11,7
"902",115,82,10,8
"903",88,96,12,9
"904",70,89,6,2
"905",87,93,7,8
"906",99,85,13,15
"907",100,86,10,10
"908",95,72,12,13
"909",101,84,6,5
"910",105,88,12,14
"911",98,102,11,6
"912",88,91,9,12
"913",124,104,12,7
"914",93,76,13,9
"915",103,103,11,10
"916",88,94,11,7
"917",90,94,9,15
"918",103,109,15,12
"919",97,96,8,11
"920",95,86,7,10
"921",88,84,6,12
"922",87,110,11,15
"923",98,95,6,10
"924",86,103,10,12
"925",76,101,10,14
"926",89,85,9,12
"927",91,88,13,12
"928",87,107,9,12
"929",93,84,12,15
"930",92,103,5,10
"931",98,92,12,15
"932",93,95,13,17
"933",118,93,6,9
"934",77,90,11,12
"935",95,105,8,6
"936",80,110,12,18
"937",106,100,9,10
"938",89,73,11,11
"939",71,104,11,10
"940",105,101,10,7
"941",85,94,6,13
"942",92,102,11,17
"943",86,101,10,12
"944",93,73,12,7
"945",87,91,7,5
"946",78,93,8,9
"947",93,99,6,9
"948",90,100,12,12
"949",102,94,10,15
"950",105,98,8,18
"951",97,93,9,11
"952",109,94,4,15
"953",120,80,10,16
"954",95,86,9,11
"955",101,98,8,8
"956",76,93,12,6
"957",84,88,11,13
"958",95,82,10,11
"959",81,82,4,3
"960",96,95,12,7
"961",83,95,11,9
"962",81,96,8,8
"963",104,89,10,13
"964",109,90,9,10
"965",100,105,7,2
"966",83,89,6,15
"967",93,95,10,11
"968",90,91,12,15
"969",106,86,12,8
"970",86,99,12,13
"971",104,95,5,9
"972",86,140,10,10
"973",84,91,10,11
"974",98,94,9,9
"975",78,94,15,7
"976",90,98,11,4
"977",89,92,9,16
"978",96,89,11,13
"979",98,112,13,9
"980",72,90,14,5
"981",88,106,7,15
"982",100,92,11,11
"983",113,89,10,9
"984",92,87,11,12
"985",93,87,6,12
"986",81,107,6,10
"987",89,94,11,7
"988",102,82,3,3
"989",99,100,7,12
"990",98,87,8,10
"991",86,92,15,8
"992",89,90,13,9
"993",85,98,8,9
"994",88,104,12,18
"995",92,98,12,9
"996",75,99,3,12
"997",105,99,12,13
"998",89,100,13,5
"999",94,99,12,11
"1000",100,96,12,15
"1001",78,94,7,15
"1002",100,108,9,9
"1003",95,98,9,13
"1004",94,78,8,8
"1005",83,95,14,6
"1006",83,83,13,9
"1007",94,87,10,7
"1008",98,78,8,13
"1009",68,101,7,10
"1010",86,99,13,15
"1011",90,96,11,10
"1012",72,86,15,9
"1013",89,94,8,8
"1014",103,105,11,6
"1015",92,75,5,11
"1016",91,104,17,7
"1017",111,86,11,16
"1018",101,94,7,9
"1019",106,103,10,22
"1020",95,93,12,7
"1021",89,106,9,14
"1022",93,78,13,9
"1023",84,104,10,15
"1024",98,83,10,6
"1025",101,98,10,8
"1026",100,89,11,9
"1027",112,87,11,4
"1028",93,83,7,7
"1029",98,81,9,7
"1030",106,76,9,12
"1031",96,101,8,6
"1032",89,90,10,13
"1033",76,109,9,7
"1034",100,98,12,14
"1035",99,100,12,9
"1036",100,94,9,7
"1037",103,101,12,15
"1038",120,90,9,7
"1039",104,100,11,6
"1040",105,96,13,9
"1041",83,83,15,11
"1042",89,108,11,13
"1043",88,89,12,6
"1044",97,91,12,12
"1045",85,103,14,12
"1046",94,107,11,13
"1047",97,114,10,11
"1048",104,109,9,12
"1049",101,99,12,5
"1050",89,90,7,20
"1051",106,87,10,12
"1052",91,85,13,10
"1053",99,102,9,9
"1054",100,97,16,8
"1055",91,89,8,6
"1056",99,94,7,9
"1057",97,80,13,6
"1058",95,98,9,6
"1059",76,93,8,16
"1060",80,99,8,15
"1061",79,91,8,7
"1062",96,95,8,10
"1063",76,86,6,13
"1064",100,88,9,9
"1065",93,83,10,11
"1066",114,79,13,14
"1067",97,87,5,19
"1068",90,92,14,8
"1069",108,98,10,15
"1070",92,108,3,13
"1071",80,86,8,10
"1072",92,99,11,10
"1073",76,77,10,12
"1074",106,81,9,5
"1075",77,91,11,9
"1076",91,78,8,12
"1077",89,95,11,7
"1078",100,82,10,9
"1079",92,87,9,10
"1080",115,90,9,3
"1081",79,83,11,3
"1082",95,95,13,6
"1083",102,108,8,10
"1084",88,96,10,13
"1085",90,83,11,10
"1086",83,90,16,8
"1087",86,101,8,10
"1088",85,86,11,16
"1089",94,104,6,10
"1090",82,66,12,14
"1091",111,87,11,11
"1092",91,101,5,11
"1093",101,98,10,16
"1094",85,94,16,10
"1095",93,76,12,8
"1096",88,85,6,6
"1097",85,103,13,11
"1098",102,88,12,6
"1099",94,96,13,12
"1100",75,125,10,14
"1101",87,82,7,7
"1102",88,91,15,6
"1103",98,86,6,11
"1104",73,95,14,8
"1105",85,98,14,8
"1106",66,92,7,12
"1107",95,95,7,14
"1108",107,107,11,8
"1109",95,82,13,8
"1110",89,96,10,8
"1111",93,85,8,8
"1112",122,91,10,11
"1113",82,93,9,8
"1114",88,93,11,8
"1115",96,90,5,5
"1116",85,109,10,11
"1117",97,81,17,11
"1118",85,103,12,14
"1119",110,82,11,12
"1120",94,92,17,10
"1121",88,96,7,6
"1122",100,87,3,13
"1123",90,107,5,8
"1124",85,89,4,7
"1125",107,103,11,8
"1126",91,113,8,11
"1127",84,93,8,6
"1128",89,91,6,10
"1129",107,75,10,11
"1130",99,105,12,11
"1131",92,92,9,8
"1132",103,91,9,12
"1133",86,94,15,8
"1134",101,82,10,9
"1135",92,97,10,7
"1136",82,91,12,9
"1137",92,92,15,4
"1138",92,95,8,3
"1139",85,96,7,7
"1140",88,82,10,6
"1141",97,87,10,12
"1142",97,105,6,5
"1143",92,88,7,12
"1144",75,117,11,9
"1145",102,97,11,15
"1146",106,96,5,16
"1147",105,94,15,9
"1148",93,74,7,9
"1149",95,98,7,9
"1150",90,109,13,14
"1151",101,97,11,13
"1152",95,115,12,8
"1153",82,88,12,7
"1154",94,108,10,12
"1155",109,94,14,11
"1156",87,95,7,6
"1157",93,102,18,14
"1158",99,103,7,9
"1159",93,87,11,12
"1160",103,71,10,11
"1161",74,98,5,13
"1162",92,97,4,6
"1163",90,97,7,10
"1164",74,98,8,15
"1165",103,93,4,15
"1166",97,118,6,7
"1167",111,87,10,11
"1168",77,102,9,11
"1169",96,106,12,6
"1170",84,88,9,8
"1171",105,95,7,11
"1172",92,87,10,9
"1173",85,110,12,11
"1174",98,104,13,8
"1175",103,84,12,6
"1176",95,102,12,9
"1177",83,104,14,10
"1178",99,85,15,12
"1179",96,92,9,9
"1180",80,96,11,11
"1181",95,100,6,14
"1182",98,98,10,8
"1183",92,94,8,6
"1184",86,87,17,7
"1185",88,100,7,11
"1186",91,102,14,10
"1187",107,86,12,14
"1188",85,86,10,10
"1189",95,99,11,9
"1190",85,93,10,15
"1191",104,90,12,7
"1192",108,84,12,6
"1193",92,116,5,16
"1194",103,83,6,13
"1195",96,83,8,6
"1196",98,87,8,9
"1197",93,95,7,11
"1198",85,90,8,14
"1199",107,107,15,15
"1200",102,92,10,12
"1201",85,86,14,8
"1202",119,92,9,10
"1203",101,80,13,13
"1204",106,100,9,11
"1205",92,86,9,12
"1206",93,91,7,12
"1207",68,107,8,11
"1208",80,94,9,11
"1209",88,89,9,10
"1210",105,73,18,4
"1211",81,102,7,7
"1212",104,91,9,14
"1213",73,98,3,3
"1214",95,83,11,10
"1215",95,98,11,6
"1216",97,91,12,8
"1217",93,109,8,10
"1218",98,99,11,6
"1219",105,118,11,5
"1220",89,83,7,11
"1221",95,98,12,13
"1222",90,79,5,2
"1223",89,99,11,12
"1224",93,90,13,10
"1225",97,85,14,9
"1226",111,99,12,8
"1227",87,99,14,9
"1228",95,97,9,9
"1229",87,83,12,11
"1230",80,95,10,12
"1231",98,100,7,10
"1232",95,98,9,13
"1233",101,106,10,8
"1234",66,78,11,9
"1235",81,98,10,8
"1236",91,101,14,9
"1237",76,90,8,10
"1238",112,96,8,12
"1239",100,88,10,10
"1240",103,102,13,9
"1241",89,94,9,15
"1242",73,78,8,20
"1243",83,93,9,13
"1244",117,110,9,7
"1245",79,89,10,11
"1246",96,100,7,4
"1247",79,79,15,11
