"","C42_1","C42B_1","LNCAP_1","MR49F_1","C42_2","C42B_2","LNCAP_2","MR49F_2","C42_3","C42B_3","LNCAP_3","MR49F_3"
"ENSG00000003400",1,9,0,4,5,2,3,1,1,5,0,3
"ENSG00000003402",22,132,217,111,15,19,86,114,40,117,6,11
"ENSG00000003436",93,0,222,1547,112,0,1250,519,900,0,215,104
"ENSG00000003509",4,48,81,65,54,12,265,61,22,19,5,4
"ENSG00000003756",27,2881,509,33,131,30,600,434,641,262,55,18
"ENSG00000003989",16,69,467,75,34,2,266,50,205,5,30,5
"ENSG00000004059",29,1488,29,455,49,35,376,158,205,125,14,16
"ENSG00000004139",15,482,32,152,9,4,1056,300,197,9,26,15
"ENSG00000004142",19,2485,348,1000,19,34,369,486,350,96,42,33
"ENSG00000004399",0,402,0,3,0,2,0,8,4,9,0,0
"ENSG00000004455",6,1546,356,898,22,70,1257,431,141,192,86,29
"ENSG00000004478",35,5919,553,257,492,97,230,318,666,836,90,62
"ENSG00000004487",27,1303,602,115,17,43,477,199,45,82,15,10
"ENSG00000004534",11,2089,367,124,69,115,387,169,710,220,49,19
"ENSG00000004660",10,103,105,26,10,26,103,385,99,102,20,18
"ENSG00000004700",9,17,125,220,17,42,26,407,44,98,68,13
"ENSG00000004766",19,59,11,19,18,3,18,88,104,16,6,2
"ENSG00000004777",2,83,44,33,5,2,155,3,24,30,1,1
"ENSG00000004779",51,1163,492,97,37,14,235,245,186,126,51,14
"ENSG00000004838",0,30,3,6,1,1,1,2,1,0,2,0
"ENSG00000004864",13,59,39,66,261,6,713,92,99,58,13,4
"ENSG00000004866",15,1547,146,200,21,34,2004,156,608,379,61,4
"ENSG00000004897",18,158,155,1197,20,198,282,242,55,128,472,23
"ENSG00000004961",7,73,101,40,25,5,39,195,111,12,8,5
"ENSG00000004975",8,44,20,280,33,15,195,66,31,125,15,11
"ENSG00000005001",0,54,0,1,0,1,7,0,0,5,1,0
"ENSG00000005007",26,46,95,244,18,24,1117,225,195,165,18,9
"ENSG00000005020",6,148,123,97,5,9,127,22,13,136,33,7
"ENSG00000005022",248,186,1153,1359,88,177,1098,812,215,192,58,103
"ENSG00000005059",0,49,0,0,0,5,23,1,1,14,0,0
"ENSG00000005073",2,73,0,0,4,0,1,0,11,23,0,0
"ENSG00000005075",6,36,59,17,11,1,20,145,34,33,2,2
"ENSG00000005100",16,237,243,145,25,45,1411,280,78,221,30,30
"ENSG00000005156",20,1789,126,248,23,37,233,250,271,203,64,44
"ENSG00000005175",7,885,178,87,37,34,1537,537,97,180,47,30
"ENSG00000005187",14,54,104,39,32,7,453,24,15,52,53,6
"ENSG00000005189",16,25,91,38,12,6,126,11,145,74,4,2
"ENSG00000005194",9,170,130,37,26,19,151,40,41,73,10,20
"ENSG00000005206",8,37,83,40,22,13,557,47,152,52,25,20
"ENSG00000005238",3,312,30,9,14,1,77,30,19,75,6,2
"ENSG00000005249",9,16,528,32,52,36,600,35,109,126,14,7
"ENSG00000005302",15,328,99,104,10,13,19,18,93,24,3,6
"ENSG00000005339",13,4075,111,62,51,28,818,168,212,56,24,79
"ENSG00000005379",8,268,13,10,2,11,43,5,40,7,1,1
"ENSG00000005436",6,174,148,23,7,20,96,343,69,45,5,25
"ENSG00000005448",4,279,8,100,1,7,57,13,24,12,3,3
"ENSG00000005469",51,659,68,61,14,13,917,39,83,117,91,61
"ENSG00000005471",0,0,0,0,1,0,2,0,0,0,0,0
"ENSG00000005483",28,1714,63,140,57,16,1175,53,206,28,139,31
"ENSG00000005486",72,14,132,101,33,26,40,122,106,15,5,18
"ENSG00000005513",0,6,5,4,1,0,6,1,5,0,0,1
"ENSG00000005700",32,958,225,212,33,17,886,148,94,21,20,17
"ENSG00000005801",5,206,162,164,35,10,304,210,80,59,11,24
"ENSG00000005810",9,111,1327,43,120,12,2282,68,76,52,545,13
"ENSG00000005812",9,38,104,32,134,11,186,53,113,55,14,10
"ENSG00000005882",2,57,8,8,7,8,37,14,31,34,3,4
"ENSG00000005884",3,123,15,4,1,15,143,8,33,2,4,3
"ENSG00000005889",12,1199,88,12,75,23,93,129,41,46,4,18
"ENSG00000005893",67,978,611,710,80,106,1400,689,1380,583,62,48
"ENSG00000005961",0,54,0,3,0,0,0,3,2,0,0,0
"ENSG00000006007",84,94,185,490,69,43,385,175,321,155,28,34
"ENSG00000006015",4,111,7,5,0,1,25,1,20,15,12,1
"ENSG00000006025",0,12,1,7,0,1,5,15,1,20,0,1
"ENSG00000006042",3,916,21,27,40,30,215,27,114,73,95,11
"ENSG00000006047",0,524,2,1,0,8,1,4,4,6,7,0
"ENSG00000006062",8,20,19,31,9,7,134,67,79,3,14,4
"ENSG00000006071",0,83,0,8,1,4,41,25,0,14,2,2
"ENSG00000006118",26,179,151,44,86,14,202,316,376,89,27,77
"ENSG00000006125",108,2142,1172,769,175,52,4473,634,1581,1060,160,134
"ENSG00000006194",12,38,37,20,24,12,107,213,78,32,10,33
"ENSG00000006282",21,232,354,263,16,31,988,212,49,134,35,33
"ENSG00000006283",0,6,0,0,0,0,0,0,0,2,0,0
"ENSG00000006327",6,234,44,2,9,2,23,21,5,45,6,2
"ENSG00000006432",5,148,95,38,5,12,42,35,58,98,46,6
"ENSG00000006451",6,21,87,82,15,9,212,412,20,35,17,14
"ENSG00000006453",10,248,67,62,365,13,550,97,189,121,10,29
"ENSG00000006459",1,475,16,123,107,3,30,62,36,1,13,19
"ENSG00000006468",0,0,192,0,1,0,87,0,0,0,83,0
"ENSG00000006530",13,178,109,246,228,18,944,678,349,194,57,16
"ENSG00000006534",0,1,0,0,0,0,0,0,0,1,0,0
"ENSG00000006576",14,347,87,247,13,30,373,236,394,102,42,21
"ENSG00000006607",6,1396,189,196,8,11,149,219,10,193,56,75
"ENSG00000006625",30,251,168,470,61,6,281,21,155,52,62,46
"ENSG00000006634",12,75,49,95,178,4,669,79,152,4,10,6
"ENSG00000006652",23,34,17,284,361,23,46,78,84,188,89,23
"ENSG00000006695",4,370,19,45,31,9,156,43,36,9,20,5
"ENSG00000006704",10,730,75,89,47,9,10,26,68,5,6,8
"ENSG00000006712",25,515,20,138,77,53,983,101,72,69,14,32
"ENSG00000006715",8,163,177,86,8,23,925,111,91,101,16,21
"ENSG00000006740",4,374,47,38,56,3,93,29,65,2,11,17
"ENSG00000006744",28,2260,114,397,599,27,889,176,228,96,15,76
"ENSG00000006747",0,4,3,1,0,0,18,0,0,0,2,0
"ENSG00000006756",19,373,217,23,22,2,350,26,419,20,18,23
"ENSG00000006757",2,49,13,241,16,2,451,82,11,15,2,7
"ENSG00000006831",44,381,517,26,247,99,18,45,36,21,89,92
"ENSG00000006837",0,1,0,0,0,0,3,2,2,0,0,0
"ENSG00000007047",0,4,7,3,6,7,17,23,14,32,1,4
"ENSG00000007080",23,488,12,29,22,4,10,12,20,7,32,6
"ENSG00000007168",22,76,134,294,27,4,642,78,198,436,27,69
"ENSG00000007174",0,0,1,0,0,0,0,0,3,0,0,0
"ENSG00000007202",78,5656,212,501,117,55,2451,39,1773,214,51,38
"ENSG00000007255",0,90,9,25,10,1,4,25,1,12,1,5
"ENSG00000007341",24,378,89,60,16,7,81,45,52,14,64,8
"ENSG00000007376",8,63,24,307,9,12,553,23,90,62,5,5
"ENSG00000007384",4,72,28,50,9,8,418,20,211,68,20,3
"ENSG00000007392",21,220,151,96,18,56,135,131,92,43,10,8
"ENSG00000007402",1,28,16,5,1,1,32,250,11,1,3,1
"ENSG00000007516",1,256,15,14,2,28,2,36,2,39,1,3
"ENSG00000007520",2,59,88,17,3,9,21,22,80,27,5,9
"ENSG00000007541",3,203,136,55,6,7,110,21,32,40,81,12
"ENSG00000007545",5,13,5,76,6,13,8,30,36,22,20,11
"ENSG00000007866",5,313,24,51,3,22,186,42,16,50,9,13
"ENSG00000007923",11,2072,152,293,90,21,134,340,103,11,10,19
"ENSG00000007944",42,18,67,6,101,6,35,14,93,5,28,1
"ENSG00000007952",0,0,5,0,0,0,0,0,5,0,0,0
"ENSG00000007968",4,119,31,6,10,21,149,10,20,35,8,2
"ENSG00000008018",134,2849,319,199,17,17,440,75,101,65,167,41
"ENSG00000008083",6,115,32,9,5,27,499,7,38,55,21,6
"ENSG00000008086",3,250,13,50,33,20,22,37,56,1,2,2
"ENSG00000008128",1,20,20,30,2,5,59,45,28,15,2,4
"ENSG00000008130",107,374,167,76,5,16,332,22,243,77,24,23
"ENSG00000008256",11,61,46,58,22,30,444,92,96,10,35,3
"ENSG00000008277",3,87,21,15,3,19,70,33,57,38,20,3
"ENSG00000008282",125,2962,977,463,37,37,303,434,1107,273,41,29
"ENSG00000008283",54,5183,556,580,70,471,890,405,616,162,168,43
"ENSG00000008294",10,1836,65,260,15,27,510,33,171,80,19,17
"ENSG00000008300",2,140,32,38,10,3,36,25,17,1,1,2
"ENSG00000008311",1,38,1,6,7,0,11,4,6,11,4,5
"ENSG00000008323",0,2,1,2,0,3,0,1,4,0,0,1
"ENSG00000008324",8,281,37,13,2,6,60,24,12,5,3,13
"ENSG00000008382",1,127,2,14,4,3,165,52,15,24,11,3
"ENSG00000008394",73,3179,775,807,45,97,4519,303,207,325,51,214
"ENSG00000008405",13,158,32,111,36,32,20,22,16,14,24,7
"ENSG00000008441",116,1266,595,154,610,121,191,270,502,711,83,34
"ENSG00000008513",597,2220,921,282,324,268,1394,1081,971,1592,709,25
"ENSG00000008517",0,13,0,0,3,6,1,0,3,12,0,0
"ENSG00000008710",8,104,24,323,95,9,354,71,148,132,55,9
"ENSG00000008735",19,13,5,10,48,3,72,42,20,24,10,1
"ENSG00000008838",35,321,144,22,34,39,159,241,12,195,29,9
"ENSG00000008853",3,222,40,65,17,5,60,51,49,5,4,27
"ENSG00000008869",10,45,16,228,7,19,73,13,12,88,17,27
"ENSG00000008952",15,711,473,545,68,20,230,29,704,81,40,44
"ENSG00000008988",60,6841,3030,6723,130,59,178,1190,144,188,262,127
"ENSG00000009307",239,11680,699,3278,530,754,11867,274,2727,412,1019,88
"ENSG00000009335",24,2784,202,91,34,52,2845,363,395,483,20,94
"ENSG00000009413",41,282,65,9,112,9,27,103,126,147,5,8
"ENSG00000009694",39,3,41,2352,139,0,96,991,294,0,16,133
"ENSG00000009765",6,59,33,9,1,1,110,28,119,8,6,1
"ENSG00000009780",11,18,31,18,75,3,25,47,46,6,3,5
"ENSG00000009830",4,740,14,43,4,10,56,10,21,4,6,21
"ENSG00000009844",9,327,160,63,5,65,292,42,189,101,16,14
"ENSG00000009950",2,285,3,3,1,1,3,6,3,32,0,0
"ENSG00000009954",9,1041,605,294,55,42,97,100,155,241,425,121
"ENSG00000010017",38,101,47,36,25,17,154,111,201,131,27,45
"ENSG00000010072",6,517,95,60,5,11,119,49,69,3,14,7
"ENSG00000010165",10,212,220,95,22,9,237,17,77,24,6,5
"ENSG00000010219",3,62,54,31,5,3,27,8,58,41,1,25
"ENSG00000010244",45,2690,864,401,105,41,1247,287,898,1465,57,47
"ENSG00000010256",175,2588,192,412,29,37,137,337,494,374,28,8
"ENSG00000010270",9,384,72,213,78,19,420,213,164,14,88,16
"ENSG00000010278",86,5466,587,225,322,213,2063,311,324,253,136,6
"ENSG00000010292",66,2162,503,233,17,58,717,241,91,62,99,66
"ENSG00000010318",3,20,16,25,7,3,49,19,4,1,0,2
"ENSG00000010319",2,314,13,3,2,8,36,19,3,12,17,1
"ENSG00000010322",30,767,101,350,3,21,242,14,663,177,39,12
"ENSG00000010361",1,16,9,4,0,0,23,8,0,0,1,0
"ENSG00000010404",13,26,68,29,21,12,77,46,22,14,4,35
"ENSG00000010539",4,18,32,28,7,10,307,26,32,9,7,10
"ENSG00000010626",3,147,3,22,28,2,152,23,11,9,1,1
"ENSG00000010704",1,12,5,13,2,10,1,8,18,4,0,0
"ENSG00000010803",16,1434,356,190,147,29,85,80,174,134,12,34
"ENSG00000010810",0,3,2,21,0,0,2,2,1,0,0,1
"ENSG00000010818",11,173,90,46,42,15,127,9,24,8,14,5
"ENSG00000011007",15,817,336,38,45,35,172,97,124,165,24,33
"ENSG00000011009",3,219,27,29,4,13,196,20,15,17,4,7
"ENSG00000011021",4,618,100,127,10,13,16,34,92,42,14,13
"ENSG00000011052",0,23,0,1,0,0,1,2,0,0,0,4
"ENSG00000011105",5,134,181,135,45,136,116,34,10,26,14,4
"ENSG00000011114",7,96,242,278,11,47,244,192,68,12,6,20
"ENSG00000011132",0,7,14,19,7,1,52,12,13,16,5,2
"ENSG00000011143",13,126,211,82,10,4,86,105,14,82,55,2
"ENSG00000011198",5,42,72,55,64,5,239,49,85,7,13,8
"ENSG00000011243",5,854,5,99,20,16,19,51,64,32,22,11
"ENSG00000011258",2,4,267,102,8,113,473,18,15,170,8,2
"ENSG00000011260",18,110,400,21,13,200,198,152,201,14,14,8
"ENSG00000011275",8,11,148,119,7,5,188,77,39,34,4,6
"ENSG00000011295",91,1818,96,699,255,14,535,503,121,182,13,72
"ENSG00000011304",128,870,619,257,33,42,433,205,256,337,23,85
"ENSG00000011332",0,61,3,11,3,0,9,5,1,6,0,0
"ENSG00000011347",21,93,82,115,43,5,166,127,763,53,8,6
"ENSG00000011376",109,90,90,146,58,54,400,51,155,130,33,28
"ENSG00000011405",17,29,375,205,45,53,359,1123,140,53,58,23
"ENSG00000011426",29,306,243,299,296,94,87,152,976,102,34,267
"ENSG00000011451",15,626,42,30,12,11,156,88,394,18,53,7
"ENSG00000011454",32,1782,810,251,16,68,331,265,397,293,23,38
"ENSG00000011478",0,24,3,43,1,3,3,42,67,7,2,2
"ENSG00000011485",11,134,52,95,72,27,122,70,202,29,30,45
"ENSG00000011523",1,320,51,86,6,2,245,32,20,17,1,6
"ENSG00000011566",3,146,80,49,15,4,34,37,172,97,4,7
"ENSG00000011638",4,947,17,36,36,29,22,47,78,78,4,2
"ENSG00000011677",1,129,6,50,22,2,6,21,9,19,0,2
"ENSG00000012048",29,316,36,118,43,23,169,10,190,19,31,12
"ENSG00000012061",5,342,58,86,25,12,139,72,5,14,9,16
"ENSG00000012171",1,301,64,6,1,5,47,17,19,69,6,7
"ENSG00000012174",6,1098,311,339,66,64,38,121,47,52,73,16
"ENSG00000012211",0,177,9,46,7,10,3,69,22,27,0,5
"ENSG00000012223",0,0,4,0,0,0,6,0,6,0,0,0
"ENSG00000012232",16,27,76,77,10,7,89,39,93,61,27,6
"ENSG00000012660",99,734,65,290,1213,36,855,1673,4322,93,339,73
"ENSG00000012779",0,26,1,0,0,0,1,0,1,2,0,0
"ENSG00000012817",1,0,105,130,10,0,157,18,9,0,11,5
"ENSG00000012822",2,35,30,65,23,3,29,91,85,20,2,5
"ENSG00000012963",12,1571,157,50,10,30,1479,171,26,123,484,13
"ENSG00000012983",11,21,77,212,23,33,93,39,46,85,5,16
"ENSG00000013016",2,350,43,34,6,3,37,49,52,19,1,4
"ENSG00000013275",42,1229,539,424,17,26,759,36,163,69,53,23
"ENSG00000013288",22,61,64,70,18,10,258,81,402,42,18,6
"ENSG00000013306",29,285,137,217,32,37,503,97,160,301,84,54
"ENSG00000013364",1,28,20,17,1,3,182,15,19,1,10,0
"ENSG00000013374",11,118,29,78,38,19,622,96,247,122,18,14
"ENSG00000013375",5,522,126,221,721,15,722,24,22,144,45,3
"ENSG00000013392",19,37,25,33,55,4,380,80,54,17,10,4
"ENSG00000013441",25,25,235,76,180,18,66,107,395,78,12,70
"ENSG00000013503",9,248,114,36,12,7,286,15,22,217,19,8
"ENSG00000013523",27,1696,249,111,10,26,313,97,339,138,25,4
"ENSG00000013561",12,914,488,183,17,16,146,90,199,118,31,50
"ENSG00000013563",11,151,17,2,7,9,31,53,128,87,15,19
"ENSG00000013573",17,31,76,35,60,9,11,43,84,24,41,10
"ENSG00000013583",6,28,7,7,6,7,35,70,23,9,23,4
"ENSG00000013619",0,2,0,2,0,3,0,2,7,4,0,0
"ENSG00000013810",17,236,95,175,127,17,603,258,205,105,91,15
"ENSG00000014123",9,70,135,63,63,87,1131,132,195,353,11,25
"ENSG00000014138",18,429,317,18,9,8,318,29,157,7,6,7
"ENSG00000014164",3,41,8,35,8,6,189,18,12,24,10,2
"ENSG00000014216",7,63,67,163,39,21,418,275,352,461,26,13
"ENSG00000014257",72,93,101,261,47,17,400,131,240,56,90,4
"ENSG00000014641",17,548,36,264,19,73,1802,284,257,100,27,18
"ENSG00000014824",30,292,187,930,9,29,228,216,408,338,71,499
"ENSG00000014914",2,4,7,5,11,2,30,3,2,7,1,0
"ENSG00000014919",12,139,105,44,16,17,53,32,92,174,60,10
"ENSG00000015133",8,67,95,112,9,29,787,25,181,172,10,6
"ENSG00000015153",3,291,3,133,10,8,174,45,6,13,3,3
"ENSG00000015171",13,194,86,435,28,306,614,231,132,329,120,52
"ENSG00000015285",0,17,0,7,0,0,2,0,0,2,0,0
"ENSG00000015475",5,50,77,12,1,10,366,64,39,57,4,3
"ENSG00000015479",2,85,27,64,2,4,116,58,12,4,24,3
"ENSG00000015532",15,23,15,15,28,19,29,21,4,17,11,4
"ENSG00000015676",11,236,210,304,31,17,116,107,245,33,79,44
"ENSG00000016391",11,154,69,15,66,24,12,50,99,23,28,5
"ENSG00000016402",1,8,0,1,0,0,6,1,1,2,0,0
"ENSG00000016864",19,81,101,130,217,25,631,155,117,34,18,12
"ENSG00000017260",29,433,405,191,236,49,620,99,696,322,50,65
"ENSG00000017427",2,0,4,0,2,0,6,5,81,1,5,2
"ENSG00000017797",13,1067,50,85,101,22,239,381,33,13,12,48
"ENSG00000018189",4,645,65,35,5,20,66,76,44,33,29,2
"ENSG00000018408",0,0,4,1,0,0,35,1,4,0,0,0
"ENSG00000018510",6,53,35,6,3,8,57,23,28,131,7,10
"ENSG00000018610",4,15,178,41,7,5,98,38,19,34,7,9
"ENSG00000018699",3,69,201,69,7,3,27,22,19,34,10,5
"ENSG00000018869",1,3,11,1,0,0,10,1,4,7,1,0
"ENSG00000019144",1,15,35,14,9,3,109,20,9,3,9,0
"ENSG00000019485",0,4,4,9,0,0,7,5,7,1,1,0
"ENSG00000019505",0,7,0,0,0,1,0,1,0,26,0,0
"ENSG00000019582",4,0,0,0,3,0,0,0,18,0,0,0
"ENSG00000019991",0,137,0,0,0,10,0,0,0,77,0,0
"ENSG00000019995",5,138,128,103,36,3,123,45,483,12,12,19
"ENSG00000020129",6,43,90,18,36,24,55,189,129,138,69,9
"ENSG00000020181",0,7,0,1,0,0,0,0,0,1,0,0
"ENSG00000020256",3,33,70,46,6,9,71,3,10,22,3,2
"ENSG00000020426",3,44,14,47,25,7,12,5,16,10,3,33
"ENSG00000020577",1,12,0,3,7,3,0,2,24,26,0,0
"ENSG00000020922",4,182,128,160,19,29,1111,16,242,27,13,4
"ENSG00000021300",35,64,575,83,23,14,767,192,116,11,23,31
"ENSG00000021488",0,0,1,0,1,0,1,0,0,0,0,0
"ENSG00000021574",4,644,33,348,14,19,138,119,18,49,153,20
"ENSG00000021645",0,0,3,0,5,0,0,0,9,0,0,0
"ENSG00000021762",16,10,77,115,8,5,163,65,113,20,8,8
"ENSG00000021776",81,192,202,273,51,8,204,110,213,13,20,27
"ENSG00000021826",3,16,14,373,4,9,5,83,34,36,3,19
"ENSG00000022267",0,3,0,0,0,0,0,0,0,8,0,0
"ENSG00000022277",8,55,197,59,11,18,48,206,1001,29,31,23
"ENSG00000022556",11,76,106,173,20,10,263,61,33,62,48,5
"ENSG00000022567",3,34,15,9,5,2,47,12,13,20,4,6
"ENSG00000022840",29,614,1230,589,66,151,99,673,198,74,142,17
"ENSG00000022976",4,40,116,34,30,3,46,48,72,30,18,9
"ENSG00000023041",20,77,101,32,34,5,60,70,59,16,8,16
"ENSG00000023171",0,1,0,0,0,0,0,0,9,0,0,0
"ENSG00000023191",9,296,148,99,32,18,37,164,333,24,29,30
"ENSG00000023228",36,279,239,515,176,42,734,74,53,251,20,45
"ENSG00000023287",27,371,288,435,23,19,52,381,274,239,51,22
"ENSG00000023318",35,186,172,205,191,14,337,52,70,82,18,14
"ENSG00000023330",10,263,68,199,18,20,455,141,301,137,42,12
"ENSG00000023445",6,42,39,21,8,9,29,1,97,76,13,0
"ENSG00000023516",20,32,118,407,56,17,75,61,353,89,123,9
"ENSG00000023572",3,24,9,28,6,3,70,34,55,3,1,2
"ENSG00000023608",7,58,7,35,8,7,19,14,78,28,11,6
"ENSG00000023697",14,10,10,31,7,15,48,44,106,90,13,3
"ENSG00000023734",20,223,115,454,118,42,441,58,832,88,84,43
"ENSG00000023892",2,37,7,5,4,12,28,7,34,4,4,2
"ENSG00000023902",1,8,21,7,0,3,5,1,5,0,2,0
"ENSG00000023909",27,394,114,188,99,8,78,179,105,104,6,13
"ENSG00000024048",10,112,66,48,19,33,8,171,111,49,20,9
"ENSG00000024526",20,616,12,95,13,57,12,67,140,246,50,12
"ENSG00000024862",0,18,7,26,0,1,19,19,19,1,0,1
"ENSG00000025039",4,9,23,14,4,4,7,12,16,20,4,1
"ENSG00000025156",5,51,86,12,20,9,98,188,41,7,11,13
"ENSG00000025293",15,35,269,106,26,91,57,143,65,183,28,27
"ENSG00000025423",0,1,7,6,4,0,1,4,3,4,4,0
"ENSG00000025434",3,4,37,2,7,2,7,2,45,4,1,0
"ENSG00000025708",2,19,1,7,1,20,1,2,40,60,2,0
"ENSG00000025770",7,129,77,20,16,5,31,55,95,2,6,3
"ENSG00000025772",17,50,124,128,16,33,124,144,44,148,12,13
"ENSG00000025796",17,149,140,226,128,21,293,212,898,205,50,22
"ENSG00000025800",15,234,207,591,26,26,201,217,135,20,33,80
"ENSG00000026025",9,263,22,1,18,10,2,3,106,27,1,0
"ENSG00000026036",0,2,3,8,6,1,1,10,4,22,3,0
"ENSG00000026103",3,29,44,21,4,4,26,8,78,53,2,0
"ENSG00000026297",8,45,53,33,3,7,16,71,180,24,10,4
"ENSG00000026559",0,5,4,6,0,4,0,3,1,1,0,0
"ENSG00000026652",0,14,0,1,1,1,0,0,2,6,0,0
"ENSG00000026950",2,32,3,12,6,6,3,4,39,1,1,0
"ENSG00000027001",13,59,31,145,23,12,34,104,6,170,3,21
"ENSG00000027075",3,12,76,67,26,3,7,77,12,7,2,2
"ENSG00000027697",25,46,125,70,109,21,631,49,45,63,31,5
"ENSG00000027847",6,98,50,29,4,4,46,63,13,135,7,2
"ENSG00000027869",0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000028116",1,64,36,71,20,23,5,38,147,26,12,1
"ENSG00000028137",0,1,0,0,0,0,0,0,1,2,0,0
"ENSG00000028203",59,96,325,43,31,22,9,113,54,58,49,24
"ENSG00000028310",17,28,92,81,16,6,28,48,38,93,15,9
"ENSG00000028528",26,219,44,129,119,36,107,419,79,52,14,11
"ENSG00000028839",3,108,32,73,4,3,38,91,370,5,9,8
"ENSG00000029153",5,25,5,2,7,9,41,21,9,21,2,1
"ENSG00000029363",28,56,32,107,133,67,400,234,358,344,47,80
"ENSG00000029364",14,505,141,389,100,109,137,228,377,263,48,34
"ENSG00000029534",0,1,0,0,0,0,0,2,1,3,0,0
"ENSG00000029639",1,1,7,11,4,2,4,4,21,52,1,1
"ENSG00000029725",46,1464,149,359,30,27,415,225,90,220,56,94
"ENSG00000029993",8,118,68,145,10,9,48,382,128,62,10,32
"ENSG00000030066",19,102,215,81,291,24,70,48,45,93,30,103
"ENSG00000030110",4,27,74,9,31,4,24,7,58,9,2,1
"ENSG00000030419",1,2,5,15,8,0,1,0,10,3,1,0
"ENSG00000030582",22,216,17,39,11,260,10,88,66,153,18,4
"ENSG00000031003",8,144,87,184,18,32,109,65,65,27,59,11
"ENSG00000031081",0,2,2,0,1,3,3,2,2,1,1,0
"ENSG00000031691",9,8,60,12,114,2,21,27,40,49,6,2
"ENSG00000031698",21,338,713,413,85,126,187,425,419,138,35,30
"ENSG00000031823",7,46,108,119,2,41,343,81,84,44,19,14
"ENSG00000032219",2,56,19,16,5,12,288,68,44,33,6,6
"ENSG00000032389",3,7,55,168,4,3,72,46,25,72,10,10
"ENSG00000032444",7,14,36,21,11,12,24,86,109,64,25,2
"ENSG00000032742",3,59,13,7,4,19,12,159,42,45,5,21
"ENSG00000033011",43,12,82,39,16,13,25,37,38,112,17,2
"ENSG00000033030",22,225,127,90,15,13,63,74,228,55,2,8
"ENSG00000033050",20,290,383,244,10,24,265,236,211,287,34,39
"ENSG00000033100",22,132,23,119,52,11,21,39,134,14,21,5
"ENSG00000033122",0,0,15,1,0,0,5,0,0,0,4,0
"ENSG00000033170",16,53,29,6,2,6,44,38,61,4,6,4
"ENSG00000033178",3,75,28,152,8,59,191,344,41,76,115,43
"ENSG00000033327",1,4,2,3,1,0,0,3,5,3,0,0
"ENSG00000033627",26,173,92,145,26,89,247,29,222,359,14,9
"ENSG00000033800",3,173,157,76,8,23,22,123,75,13,15,8
"ENSG00000033867",15,165,259,360,54,117,66,639,290,64,29,35
"ENSG00000034053",8,12,52,41,11,6,18,33,64,7,14,9
"ENSG00000034152",27,11,193,28,5,12,116,176,37,19,48,8
"ENSG00000034510",12,267,93,168,26,28,31,96,13,30,26,16
"ENSG00000034533",2,46,18,6,7,3,16,9,5,21,5,2
"ENSG00000034677",11,52,98,212,16,51,29,52,84,66,7,4
"ENSG00000034693",5,98,28,20,7,13,17,78,51,47,16,5
"ENSG00000034713",54,119,78,8,12,12,43,29,215,105,13,15
"ENSG00000035115",2,87,35,91,3,7,12,77,21,47,9,40
"ENSG00000035141",21,94,82,41,19,28,35,345,73,463,24,9
"ENSG00000035403",14,162,192,173,213,103,291,78,120,220,45,41
"ENSG00000035499",12,13,146,75,5,5,92,105,293,468,14,8
"ENSG00000035664",2,40,3,25,6,3,4,42,79,2,1,1
