"","V1","V2","V3","V4"
"130",143,273,110,215
"131",14,13,11,11
"132",33,17,21,12
"133",29,48,25,34
"134",144,151,146,124
"135",22,16,15,10
"136",41,26,54,20
"137",17,1,18,0
"138",174,156,126,114
"139",21,13,11,11
"140",9,3,11,2
"141",11,6,17,7
"142",110,81,88,62
"143",1,391,1,320
"144",122,116,76,93
"145",13,14,11,5
"146",92,210,107,209
"147",383,84,293,77
"148",37,22,28,12
"149",380,249,319,159
"150",22,13,13,8
"151",119,130,97,111
"152",148,226,116,193
"153",39,31,24,18
"154",115,125,78,107
"155",26,25,12,24
"156",51,7,33,5
"157",469,66,392,45
"158",131,130,99,102
"159",18,0,13,0
"160",70,179,63,124
"161",90,251,88,198
"162",12,20,15,13
"163",55,80,52,46
"164",1,86,0,76
"165",24,0,11,0
"166",20,7,15,4
"167",25,14,18,7
"168",77,66,62,33
"169",13,8,14,3
"170",473,548,356,421
"171",99,22,82,20
"172",102,69,101,70
"173",23,1,11,0
"174",18,1,16,1
"175",45,15,30,16
"176",160,152,127,136
"177",67,98,47,93
"178",15,2,23,2
"179",49,44,33,29
"180",111,95,93,49
"181",22,8,20,7
"182",15,0,15,0
"183",1336,369,1052,262
"184",1079,0,842,3
"185",30,121,20,73
"186",21,9,17,8
"187",10,11,10,6
"188",12,0,11,0
"189",52,40,42,18
"190",43,0,38,0
"191",22,14,14,8
"192",187,76,150,58
"193",0,23,0,26
"194",1,19,0,15
"195",14,16,15,20
"196",38,0,35,0
"197",38,0,39,0
"198",8,19,10,6
"199",16,1,13,4
"200",28,0,35,0
"201",47,8,42,2
"202",50,22,42,24
"203",2,5,4,8
"204",19,37,23,22
"205",61,55,36,59
"206",167,64,136,25
"207",5,23,3,17
"208",100,36,99,16
"209",155,51,99,34
"210",204,216,160,166
"211",32,56,13,45
"212",101,476,85,354
"213",17,4,13,0
"214",83,55,68,51
"215",48,0,33,0
"216",24,71,11,54
"217",22,18,16,18
"218",152,0,111,0
"219",41,81,42,55
"220",98,42,95,35
"221",534,0,431,0
"222",5,19,6,18
"223",113,0,83,0
"224",46,15,27,15
"225",24,13,11,18
"226",16,15,14,16
"227",237,176,172,136
"228",32,21,18,14
"229",56,70,51,55
"230",19,7,9,6
"231",8,129,4,94
"232",57,26,40,22
"233",31,0,25,0
"234",37,24,19,19
"235",34,0,24,0
"236",10,18,12,15
"237",103,103,78,72
"238",308,229,222,157
"239",86,142,79,100
"240",45,37,32,28
"241",41,88,38,73
"242",66,73,52,51
"243",171,188,144,114
"244",132,106,99,96
"245",45,28,34,26
"246",130,956,98,733
"247",116,105,97,100
"248",59,4,36,4
"249",190,243,155,194
"250",42,8,33,11
"251",11,27,9,13
"252",126,104,93,74
"253",43,15,22,9
"254",172,87,162,49
"255",163,50,144,26
"256",543,524,425,377
"257",56,33,44,29
"258",42,80,31,69
"259",10,20,10,13
"260",313,198,238,150
"261",28,4,32,1
"262",70,182,64,132
"263",1155,1094,884,852
"264",297,566,253,419
"265",64,41,46,32
"266",42,43,34,25
"267",78,30,50,37
"268",19,51,25,27
"269",132,105,109,83
"270",8,0,11,0
"271",37,2,40,2
"272",69,0,63,0
"273",231,292,172,235
"274",43,76,23,61
"275",195,54,154,41
"276",242,310,194,236
"277",20,159,13,119
"278",141,143,117,129
"279",102,73,76,59
"280",311,401,260,296
"281",36,1,31,4
"282",45,45,27,26
"283",19,17,9,9
"284",794,507,649,404
"285",63,0,53,1
"286",42,48,28,35
"287",119,147,106,119
"288",270,156,246,116
"289",140,240,104,175
"290",69,426,45,327
"291",177,238,148,165
"292",53,51,55,36
"293",47,48,43,63
"294",51,9,49,1
"295",34,3,31,7
"296",2,39,6,20
"297",40,0,41,0
"298",35,8,39,2
"299",2,37,0,33
"300",287,417,189,335
"301",35,21,18,17
"302",630,461,467,357
"303",40,48,29,41
"304",1,208,1,145
"305",24,27,17,8
"306",108,24,80,26
"307",132,58,112,45
"308",40,18,20,24
"309",39,0,18,0
"310",47,37,32,27
"311",24,0,11,0
"312",89,69,82,41
"313",122,63,118,41
"314",20,37,17,30
"315",252,7,217,3
"316",70,50,52,38
"317",147,0,116,0
"318",43,27,32,28
"319",15,5,13,5
"320",624,1035,509,828
"321",40,27,23,21
"322",26,17,22,8
"323",289,135,257,89
"324",71,87,59,65
"325",207,279,165,204
"326",68,230,65,175
"327",4,18,1,21
"328",179,20,142,8
"329",54,29,53,23
"330",35,178,22,157
"331",169,86,139,74
"332",40,36,36,28
"333",90,31,61,44
"334",93,133,48,86
"335",46,15,33,11
"336",211,0,124,0
"337",17,21,19,24
"338",30,14,16,7
"339",10,24,7,17
"340",237,297,209,213
"341",168,157,123,108
"342",60,0,50,0
"343",15,5,12,5
"344",14,20,12,16
"345",11,21,8,10
"346",27,117,24,95
"347",9,36,11,19
"348",168,0,131,0
"349",195,239,185,179
"350",44,10,33,9
"351",177,53,152,27
"352",31,11,26,3
"353",91,611,62,445
"354",37,51,24,31
"355",119,26,80,22
"356",25,32,29,25
"357",15,16,10,20
"358",87,143,74,110
"359",64,56,50,35
"360",18,31,22,26
"361",30,41,23,14
"362",147,112,117,83
"363",165,101,125,83
"364",65,0,45,0
"365",195,230,120,179
"366",15,13,22,10
"367",39,1,31,0
"368",44,52,33,61
"369",105,2530,85,1851
"370",306,759,276,600
"371",351,338,291,271
"372",481,428,333,371
"373",39,33,26,28
"374",76,0,48,0
"375",152,59,101,51
"376",99,120,83,76
"377",113,36,95,20
"378",221,0,141,0
"379",49,14,31,16
"380",5,15,2,9
"381",80,58,64,49
"382",24,58,21,55
"383",62,66,50,47
"384",62,163,61,126
"385",304,95,229,68
"386",8,129,3,80
"387",60,23,50,20
"388",32,65,31,37
"389",6,71,5,48
"390",169,141,139,95
"391",59,0,55,0
"392",226,213,175,143
"393",174,365,143,290
"394",57,89,57,98
"395",33,21,15,14
"396",55,62,55,31
"397",31,17,27,10
"398",20,15,10,11
"399",162,116,122,92
"400",79,1,57,3
"401",147,0,122,0
"402",204,153,176,108
"403",295,516,258,344
"404",127,2,122,1
"405",230,86,153,66
"406",67,6,57,5
"407",19,41,22,16
"408",41,15,45,15
"409",168,55,118,27
"410",23,476,14,400
"411",9,1,8,0
"412",61,38,39,43
"413",41,30,31,8
"414",467,135,313,92
"415",240,93,217,69
"416",197,135,156,80
"417",45,37,38,25
"418",23,47,32,52
"419",127,57,95,50
"420",36,30,44,26
"421",46,50,30,28
"422",218,210,171,150
"423",845,589,622,450
"424",31,0,27,0
"425",60,89,54,82
"426",26,42,33,30
"427",173,208,133,129
"428",173,75,128,67
"429",65,112,66,99
"430",10,0,12,2
"431",696,669,588,555
"432",187,107,136,101
"433",69,13,56,12
"434",378,332,301,293
"435",75,567,69,469
"436",55,42,46,48
"437",51,25,53,21
"438",24,143,18,135
"439",40,0,37,0
"440",137,0,127,0
"441",76,21,85,18
"442",221,219,181,178
"443",47,163,37,141
"444",20,17,9,20
"445",92,85,76,75
"446",842,249,641,166
"447",0,40,0,33
"448",457,569,332,420
"449",119,125,127,96
"450",26,38,21,33
"451",40,58,23,44
"452",160,103,127,102
"453",66,86,63,58
"454",52,65,29,52
"455",35,19,28,22
"456",68,42,43,23
"457",42,29,36,25
"458",125,46,77,39
"459",7,21,7,14
"460",5,0,12,0
"461",24,15,31,25
"462",21,0,17,0
"463",40,13,22,14
"464",49,73,47,51
"465",97,138,74,162
"466",56,144,52,82
"467",232,412,172,285
"468",16,101,18,68
"469",170,729,155,530
"470",52,32,47,31
"471",49,77,36,57
"472",417,409,355,313
"473",11,24,11,13
"474",214,361,170,242
"475",45,93,31,74
"476",20,16,17,12
"477",128,138,100,117
"478",50,1,38,1
"479",47,85,35,62
"480",36,63,43,44
"481",32,29,28,14
"482",7,56,3,35
"483",42,40,30,20
"484",11,9,11,9
"485",60,206,40,156
"486",56,0,48,0
"487",20,37,23,19
"488",541,654,440,490
"489",108,266,96,216
"490",76,38,47,30
"491",66,1,39,0
"492",0,10,0,7
"493",99,32,86,19
"494",3,15,3,7
"495",30,18,24,12
"496",27,8,13,18
"497",6,8,9,4
"498",272,261,220,212
"499",16,28,4,32
"500",386,223,301,185
"501",29,15,18,16
"502",912,876,752,676
"503",37,17,29,9
"504",83,98,58,83
"505",59,53,54,21
"506",20,0,7,1
"507",12,15,8,14
"508",27,50,23,35
"509",123,35,113,23
"510",0,27,0,18
"511",51,34,33,33
"512",60,137,45,95
"513",68,13,56,6
"514",20,0,11,1
"515",67,56,68,53
"516",76,61,54,38
"517",466,463,417,349
"518",11,26,11,18
"519",114,162,94,124
"520",43,20,41,15
"521",330,197,249,152
"522",25,33,9,35
"523",83,58,70,35
"524",105,36,81,39
"525",150,93,137,83
"526",34,45,34,43
"527",26,19,15,15
"528",19,37,12,21
"529",99,153,79,107
"530",32,13,22,11
"531",192,132,141,83
"532",30,0,25,0
"533",139,115,113,77
"534",41,54,33,48
"535",31,19,36,12
"536",93,64,71,44
"537",135,115,76,76
"538",33,0,29,0
"539",994,938,748,689
"540",77,126,43,122
"541",17,20,33,19
"542",63,58,49,51
"543",31,10,25,4
"544",172,216,146,135
"545",21,6,18,4
"546",42,51,25,33
"547",19,33,12,18
"548",542,901,413,639
"549",55,48,34,27
"550",123,5,87,1
"551",59,37,52,44
"552",48,36,29,29
"553",195,27,140,13
"554",0,39,1,36
"555",11,14,1,8
"556",124,16,110,12
"557",33,14,17,5
"558",8,9,11,13
"559",16,7,15,4
"560",80,78,59,68
"561",49,20,46,27
"562",295,319,252,246
"563",21,2,13,5
"564",18,59,22,54
"565",42,80,28,72
"566",0,97,0,87
"567",1022,1666,867,1286
"568",119,91,91,89
"569",38,65,33,38
"570",40,13,34,7
"571",71,89,70,68
"572",19,13,22,15
"573",40,36,42,24
"574",52,9,44,5
"575",2154,915,1633,669
"576",7,257,9,214
"577",44,83,51,65
"578",438,284,337,207
"579",27,0,22,1
"580",187,239,142,189
"581",11,26,4,18
"582",17,9,7,6
"583",90,158,84,146
"584",45,42,24,27
"585",29,27,26,19
"586",60,69,58,66
"587",232,345,158,270
"588",71,180,64,147
"589",39,49,36,29
"590",136,133,89,93
"591",126,112,101,83
"592",94,101,68,72
"593",45,44,36,31
"594",87,106,56,101
"595",4,11,1,10
"596",69,24,50,18
"597",107,165,77,131
"598",13,102,13,102
"599",65,7,38,5
"600",67,10,66,9
"601",19,20,13,21
"602",927,883,736,681
"603",392,168,332,134
"604",21,18,23,12
"605",74,32,60,27
"606",60,54,56,56
"607",55,91,54,76
"608",123,301,99,231
"609",24,29,18,25
"610",51,24,54,16
"611",0,21,0,18
"612",32,0,18,2
"613",117,35,97,32
"614",77,120,54,82
"615",147,78,109,48
"616",8,33,7,19
"617",49,50,44,48
"618",30,34,29,26
"619",48,29,22,19
"620",11,0,17,0
"621",23,16,19,20
"622",32,17,21,14
"623",27,28,26,24
"624",206,205,175,174
"625",8,16,7,13
"626",78,113,67,94
"627",164,217,148,179
"628",41,0,29,0
"629",20,21,19,9
"630",63,556,58,431
"631",41,65,39,58
"632",73,63,54,41
"633",39,40,39,26
"634",59,57,50,34
"635",244,170,211,136
"636",349,548,273,435
"637",14,14,7,11
"638",62,68,40,63
"639",13,1,9,4
"640",363,271,271,199
"641",12,15,12,18
"642",111,128,101,68
"643",47,151,33,119
"644",18,22,14,11
"645",16,22,10,17
"646",325,130,246,105
"647",198,1433,157,1063
"648",20,12,18,17
"649",0,35,0,33
"650",15,19,17,9
"651",31,52,30,33
"652",13,1,16,0
"653",58,82,32,59
"654",95,47,106,29
"655",10,35,7,24
"656",13,0,10,0
"657",42,168,25,117
"658",64,37,69,22
"659",13,34,6,31
"660",235,845,196,679
"661",0,24,0,21
"662",211,219,170,175
"663",146,167,83,112
"664",36,47,28,39
"665",224,83,170,68
"666",178,435,150,306
"667",512,678,407,495
"668",12,26,19,12
"669",125,99,84,80
"670",64,95,71,57
"671",214,202,187,162
"672",146,131,98,83
"673",27,0,31,0
"674",253,278,180,210
"675",20,29,15,20
"676",16,43,19,30
"677",19,53,9,46
"678",57,2,50,0
"679",90,258,99,169
"680",22,23,19,13
"681",80,111,55,111
"682",112,93,80,89
"683",15,18,14,11
"684",19,0,15,0
"685",29,19,26,11
"686",11,14,7,15
"687",19,22,12,8
"688",12,5,10,2
"689",32,37,18,17
"690",41,35,38,39
"691",48,57,40,36
"692",119,1,122,0
"693",0,169,1,136
"694",41,29,41,22
"695",46,64,51,38
"696",55,0,35,0
"697",41,37,36,29
"698",0,55,0,55
"699",0,167,0,138
"700",516,825,409,624
"701",15,15,17,13
"702",20,14,10,6
"703",236,362,198,266
"704",209,264,154,194
"705",75,30,54,18
"706",147,74,134,45
"707",41,15,33,19
"708",76,118,56,82
"709",799,0,681,0
"710",28,3,14,1
"711",31,26,22,24
"712",30,78,32,59
"713",136,60,93,51
"714",49,24,25,15
"715",80,58,52,54
"716",18,13,10,16
"717",20,10,12,7
"718",53,20,51,14
"719",96,78,91,55
"720",25,67,20,52
"721",230,469,168,381
"722",68,232,44,153
"723",144,189,99,154
"724",20,0,12,1
"725",63,4,55,5
"726",62,41,43,29
"727",81,53,67,51
"728",42,40,41,30
"729",96,62,88,64
"730",21,31,17,22
"731",48,0,53,1
"732",52,0,32,0
"733",0,69,0,58
"734",10,17,6,16
"735",77,164,68,125
"736",177,187,149,171
"737",37,114,21,83
"738",399,300,302,212
"739",181,291,142,219
"740",185,252,124,184
"741",326,187,276,156
"742",9,2838,3,2216
"743",73,30,53,21
"744",211,225,182,163
"745",214,91,160,67
"746",31,29,21,24
"747",109,152,95,115
"748",14,10,10,12
"749",46,28,26,35
"750",34,35,30,17
"751",375,599,294,450
"752",401,375,313,273
"753",70,23,60,20
"754",80,69,62,41
"755",383,472,290,377
"756",18,16,10,13
"757",48,77,27,68
"758",72,55,64,43
"759",83,108,63,98
"760",573,380,452,296
"761",158,129,114,96
"762",58,96,30,47
"763",79,173,73,102
"764",6,32,4,11
"765",48,168,28,127
"766",11,20,8,13
"767",64,22,46,11
"768",0,114,0,66
"769",120,73,91,56
"770",45,74,26,55
"771",145,77,104,58
"772",107,51,89,46
"773",711,613,507,492
"774",102,76,94,50
"775",24,49,12,29
"776",84,24,57,20
"777",142,143,117,97
"778",143,113,110,105
"779",290,107,229,96
"780",7,11,9,7
"781",2,11,1,7
"782",1203,2625,926,1991
"783",16,9,23,3
"784",63,0,53,0
"785",182,346,188,268
"786",9,17,6,20
"787",95,121,89,98
"788",15,22,17,14
"789",1,22,1,17
"790",270,302,205,279
"791",5,16,4,17
"792",89,83,72,64
"793",69,30,72,33
"794",147,2,111,3
"795",81,158,68,110
"796",9,28,10,21
"797",19,22,20,9
"798",10,253,14,156
"799",13,0,6,0
"800",12,10,8,7
"801",146,127,130,86
"802",111,99,108,63
"803",59,96,37,80
"804",213,308,150,245
"805",2,15,2,10
"806",41,105,32,89
"807",141,0,84,0
"808",39,49,33,45
"809",71,65,45,35
"810",54,81,42,64
"811",222,93,166,55
"812",64,69,63,59
"813",161,111,150,63
"814",86,53,61,46
"815",162,200,124,165
"816",84,102,70,83
"817",21,49,20,34
"818",159,279,149,197
"819",33,117,24,82
"820",146,103,110,101
"821",15,4,14,5
"822",20,33,13,25
"823",370,269,281,198
"824",155,213,117,173
"825",66,55,49,45
"826",10,387,18,314
"827",446,51,351,44
"828",19,3,10,4
"829",16,17,6,7
"830",20,2,15,2
"831",6,28,9,12
"832",7,102,2,83
"833",9,10,2,13
"834",45,0,36,0
"835",9,90,14,77
"836",33,42,30,23
"837",172,45,155,33
"838",75,30,36,23
"839",54,0,32,0
"840",34,47,35,43
"841",164,52,93,45
"842",108,17,83,4
"843",30,1,30,0
"844",176,0,127,0
"845",33,40,28,32
"846",0,57,0,36
"847",22,14,18,16
"848",2,9,2,10
"849",24,25,20,22
"850",18,1,21,0
"851",3,8,4,7
"852",33,12,22,10
"853",176,201,137,163
"854",299,6,269,10
"855",1,548,1,452
"856",3,9,1,9
"857",54,47,39,59
"858",36,31,26,25
"859",47,56,44,35
"860",371,372,311,245
"861",81,71,53,60
"862",64,61,53,37
"863",80,40,60,36
"864",164,118,102,73
"865",58,66,58,54
"866",29,0,29,0
"867",33,28,19,19
"868",129,132,106,103
"869",46,46,32,27
"870",120,83,111,78
"871",8,31,2,22
"872",32,31,33,15
"873",31,0,19,0
"874",23,42,18,35
"875",39,79,45,60
"876",37,0,15,4
"877",54,28,60,27
"878",57,1,49,2
"879",121,200,87,148
"880",105,16,78,8
"881",82,105,58,69
"882",67,48,69,37
"883",56,40,50,26
"884",10,26,13,27
"885",87,154,75,95
"886",26,76,21,65
"887",101,0,57,0
"888",75,16,55,10
"889",15,44,13,25
"890",8,21,1,10
"891",40,64,32,47
"892",11,24,11,17
"893",26,10,19,12
"894",105,45,97,46
"895",199,118,143,87
"896",43,27,37,27
"897",66,280,57,211
"898",45,21,39,22
"899",86,14,78,7
"900",261,214,242,172
"901",23,0,21,0
"902",58,95,55,67
"903",39,25,22,22
"904",339,106,286,83
"905",7,25,4,30
"906",17,31,15,15
"907",743,3053,642,2267
"908",48,21,38,23
"909",78,49,60,37
"910",41,37,34,29
"911",67,190,63,128
"912",58,93,43,49
"913",76,84,65,64
"914",198,202,196,169
"915",34,42,16,24
"916",26,5,20,1
"917",22,16,20,14
"918",90,39,77,23
"919",26,32,17,18
"920",267,913,198,718
"921",37,41,22,41
"922",68,90,70,78
"923",249,259,221,209
"924",30,125,29,94
"925",218,108,181,102
"926",56,0,44,0
"927",268,152,200,137
"928",6,119,10,77
"929",0,48,0,44
"930",47,31,44,19
"931",1332,1292,1058,1046
"932",206,111,170,110
"933",79,38,72,19
"934",111,81,101,61
"935",0,348,0,265
"936",161,119,104,78
"937",105,58,89,42
"938",133,73,94,59
"939",21,35,19,22
"940",156,81,119,67
"941",19,4,26,3
"942",3,22,2,23
"943",209,725,175,586
"944",28,19,20,23
"945",24,23,18,16
"946",23,20,22,18
"947",32,1,20,0
"948",44,1,36,1
"949",142,151,125,101
"950",53,1,48,2
"951",23,0,18,0
"952",39,37,34,26
"953",203,199,138,143
"954",43,0,40,0
"955",114,168,82,130
"956",1,9,3,13
"957",155,249,128,193
"958",85,131,75,112
"959",22,0,24,0
"960",45,43,32,30
"961",0,7,2,5
"962",130,5,104,2
"963",22,39,13,34
"964",138,128,120,93
"965",96,115,71,93
"966",20,23,14,25
"967",14,37,10,22
"968",58,76,43,42
"969",10,5,8,9
"970",82,0,50,0
"971",86,0,86,0
"972",21,9,16,9
"973",0,96,0,84
"974",31,37,35,21
"975",46,43,42,43
"976",36,40,25,21
"977",9,26,6,19
"978",44,52,42,43
"979",17,18,17,14
"980",1,18,1,12
"981",0,457,1,365
"982",175,270,120,202
"983",29,44,18,33
"984",40,134,41,100
"985",544,557,427,387
"986",258,438,232,359
"987",137,179,113,136
"988",36,42,31,37
"989",31,0,26,0
"990",84,103,68,62
"991",93,324,65,243
"992",71,47,36,32
"993",64,119,52,106
"994",244,155,174,114
"995",0,219,0,190
"996",357,544,257,416
"997",54,1,55,2
"998",0,67,0,46
"999",430,756,357,600
"1000",98,79,58,63
"1001",52,51,36,41
"1002",70,77,52,61
"1003",78,69,56,49
"1004",47,47,34,63
"1005",116,92,99,67
"1006",146,1143,108,874
"1007",125,228,124,190
"1008",16,133,13,93
"1009",195,198,125,163
"1010",127,180,77,107
"1011",7,30,5,28
"1012",83,177,57,140
"1013",52,67,40,49
"1014",96,79,90,68
"1015",227,787,172,640
"1016",60,15,53,28
"1017",11,35,20,8
"1018",0,94,0,75
"1019",138,116,108,95
"1020",38,17,38,26
"1021",117,1,85,0
"1022",37,64,25,40
"1023",48,76,49,68
"1024",247,195,218,164
"1025",60,57,53,33
"1026",30,25,10,13
"1027",236,210,192,161
"1028",186,157,148,115
"1029",882,879,698,703
"1030",109,7,89,10
"1031",200,309,145,258
"1032",140,219,96,176
"1033",89,112,64,80
"1034",64,30,66,21
"1035",81,82,71,67
"1036",51,13,50,9
"1037",74,66,49,46
"1038",369,676,313,520
"1039",49,218,42,162
"1040",73,0,64,0
"1041",53,40,30,49
"1042",31,36,28,27
"1043",54,108,46,62
"1044",145,123,103,104
"1045",58,9,42,2
"1046",66,483,48,365
"1047",166,200,121,175
"1048",64,521,52,367
"1049",100,0,75,0
"1050",322,680,251,564
"1051",7,2379,6,1889
"1052",130,90,99,69
"1053",17,38,16,38
"1054",55,49,38,48
"1055",72,156,58,115
"1056",244,387,191,284
"1057",256,272,205,222
"1058",294,288,246,215
"1059",202,206,176,153
"1060",372,2,307,1
"1061",292,121,230,95
"1062",630,379,479,302
"1063",132,163,90,124
"1064",22,3,9,2
"1065",371,345,294,243
"1066",32,24,20,13
"1067",8,15,3,3
"1068",24,23,6,12
"1069",28,37,30,22
"1070",66,0,66,0
"1071",143,111,107,84
"1072",81,87,60,71
"1073",1,7,0,11
"1074",239,281,199,207
"1075",83,78,64,43
"1076",56,80,36,67
"1077",58,122,48,84
"1078",37,13,36,10
"1079",42,36,21,25
"1080",13,15,13,18
"1081",4,60,7,50
"1082",270,6,229,1
"1083",25,45,20,42
"1084",56,18,39,20
"1085",57,67,43,65
"1086",460,456,337,364
"1087",187,169,140,106
"1088",197,243,152,194
"1089",130,57,113,49
"1090",17,12,19,16
"1091",0,11,0,11
"1092",21,0,19,0
"1093",190,296,168,239
"1094",99,155,84,99
"1095",395,284,308,225
"1096",335,436,273,333
"1097",105,79,66,73
"1098",115,111,135,72
"1099",100,161,68,118
"1100",19,12,12,16
"1101",33,0,22,0
"1102",88,127,70,113
"1103",15,21,16,21
"1104",3,15,4,19
"1105",161,368,113,250
"1106",9,11,7,5
"1107",14,23,11,17
"1108",31,1,18,1
"1109",20,0,18,0
"1110",14,13,12,11
"1111",24,25,3,18
"1112",20,17,16,15
"1113",10,15,12,13
"1114",30,49,27,49
"1115",19,42,17,33
"1116",20,0,5,3
"1117",13,19,14,8
"1118",9,8,5,3
"1119",17,17,10,16
"1120",13,0,9,0
"1121",103,64,73,51
"1122",16,15,15,15
"1123",0,20,0,10
"1124",48,0,39,1
"1125",24,7,19,10
"1126",103,61,77,51
"1127",35,52,34,37
"1128",151,151,128,111
"1129",30,4,29,4
"1130",261,210,194,174
"1131",18,28,13,17
"1132",44,21,40,17
"1133",10,4,11,6
"1134",30,33,35,33
"1135",25,96,21,74
"1136",242,0,213,0
"1137",80,21,51,14
"1138",9,3,14,2
"1139",22,56,19,52
"1140",247,216,217,161
"1141",12,22,18,17
"1142",35,13,21,6
"1143",27,28,17,15
"1144",140,3,92,5
"1145",12,9,9,9
"1146",55,65,45,50
"1147",16,21,11,16
"1148",12,67,13,50
"1149",462,1050,343,790
"1150",35,49,36,51
"1151",165,269,158,206
"1152",29,30,25,19
"1153",282,350,217,249
"1154",18,9,12,6
"1155",30,35,22,25
"1156",60,85,37,65
"1157",78,72,72,51
"1158",43,37,31,32
"1159",26,11,19,16
"1160",223,526,173,389
"1161",91,111,53,54
"1162",114,117,104,93
"1163",4,141,12,92
"1164",20,3,10,4
"1165",331,234,260,169
"1166",147,64,90,68
"1167",156,40,97,28
"1168",2017,1188,1608,888
"1169",12,20,12,22
"1170",80,97,59,76
"1171",66,37,62,34
"1172",43,55,33,41
"1173",11,17,12,24
"1174",66,38,55,26
"1175",205,101,168,75
"1176",219,216,185,190
"1177",373,562,253,452
"1178",380,104,262,71
"1179",258,108,223,77
"1180",209,136,185,85
"1181",357,118,280,114
"1182",142,181,97,147
"1183",218,99,211,80
"1184",359,162,264,115
"1185",249,193,195,146
"1186",241,513,170,403
"1187",0,50,0,53
"1188",45,63,37,41
"1189",1105,1220,964,852
"1190",47,18,24,24
"1191",32,0,30,0
"1192",346,387,282,267
"1193",223,208,145,146
"1194",61,60,44,54
"1195",25,14,16,8
"1196",19,19,18,16
"1197",28,48,19,28
"1198",1,120,1,82
"1199",161,128,125,94
"1200",29,24,29,17
"1201",175,49,144,31
"1202",384,495,258,345
"1203",40,1,36,1
"1204",222,145,153,127
"1205",91,49,75,34
"1206",306,8,235,8
"1207",865,479,706,386
"1208",168,172,126,159
"1209",43,0,21,2
"1210",33,35,21,29
"1211",184,26,154,16
"1212",90,14,69,7
"1213",87,282,61,234
"1214",157,60,126,54
"1215",8,17,16,16
"1216",122,89,109,60
"1217",94,121,75,98
"1218",34,0,22,0
"1219",24,1,17,2
"1220",2,6,2,11
"1221",208,214,198,144
"1222",23,41,24,36
"1223",31,7,19,12
"1224",15,27,10,16
"1225",20,15,8,10
"1226",24,16,28,14
"1227",20,14,12,24
"1228",7,0,4,0
"1229",59,59,60,34
"1230",13,35,24,23
"1231",22,0,8,0
"1232",28,23,23,19
"1233",24,41,26,38
"1234",43,43,33,30
"1235",33,33,29,39
"1236",152,133,132,106
"1237",245,208,192,179
"1238",193,92,132,77
"1239",318,255,293,208
"1240",43,75,33,43
"1241",49,83,41,60
"1242",8,409,18,305
"1243",3,29,4,13
"1244",182,172,135,128
